seccio,codi_districte,codi_barri,nom_barri,nom_districte,x,y,d_axis_m,pop
1001,1,1,el Raval,Ciutat Vella,431195.58049451676,4580638.404357757,1851.7193328428955,1302
1002,1,1,el Raval,Ciutat Vella,430922.8936169541,4581041.14669859,1450.860445978978,1400
1003,1,1,el Raval,Ciutat Vella,430759.393323197,4580801.791143963,1388.6902685666464,3467
1004,1,1,el Raval,Ciutat Vella,430530.3401864606,4580877.1170068355,1151.5925693909783,2945
1005,1,1,el Raval,Ciutat Vella,430828.4951299229,4581142.953002838,1333.5984560598772,2338
1006,1,1,el Raval,Ciutat Vella,430747.8452135652,4581278.949374563,1181.572130441071,1613
1007,1,1,el Raval,Ciutat Vella,430595.67778380367,4581178.823243969,1098.903843972541,1899
1008,1,1,el Raval,Ciutat Vella,430445.25848821114,4581033.939800193,1004.3555751987418,3245
1009,1,1,el Raval,Ciutat Vella,430257.8565081526,4580999.638324074,854.6954274463492,2154
1010,1,1,el Raval,Ciutat Vella,430364.8293961928,4581147.633440343,886.996742775784,2278
1011,1,1,el Raval,Ciutat Vella,430217.7003024019,4581161.406777958,744.8155986157333,3077
1012,1,1,el Raval,Ciutat Vella,430102.4405798922,4581235.538319606,610.3750106176873,1902
1013,1,1,el Raval,Ciutat Vella,430252.78015254514,4581286.607229438,740.3311383104198,1433
1014,1,1,el Raval,Ciutat Vella,430300.7917719471,4581381.2552058,773.4049092177901,1984
1015,1,1,el Raval,Ciutat Vella,430120.7858716635,4581393.308650152,593.0416020616796,2231
1016,1,1,el Raval,Ciutat Vella,430125.95503816416,4581595.500737373,518.2432034844659,2064
1017,1,1,el Raval,Ciutat Vella,430225.8649741459,4581481.741300184,669.5430500893633,2520
1018,1,1,el Raval,Ciutat Vella,430342.58374203014,4581565.990135246,692.0887531822223,1522
1019,1,1,el Raval,Ciutat Vella,430626.027107289,4581415.3574799895,998.9727136700185,2845
1020,1,1,el Raval,Ciutat Vella,430520.7806557998,4581652.109321257,757.0898871327424,2216
1021,1,1,el Raval,Ciutat Vella,430341.42104544624,4581820.474882717,511.2155781844389,2085
1022,1,2,el Barri Gòtic,Ciutat Vella,430772.8767273828,4581818.327841457,817.6441202055082,1606
