seccio,codi_barri,nom_barri,nom_districte,x,y,d_axis_m,pop,node_x,node_y,snap_m,snapped,egress_connector
1001,1,el Raval,Ciutat Vella,431195.5804945168,4580638.404357757,1851.719332842896,1302.0,431210.8,4580619.0,24.7,True,False
1002,1,el Raval,Ciutat Vella,430922.8936169541,4581041.14669859,1450.860445978978,1400.0,430878.4,4581070.4,53.2,True,False
1003,1,el Raval,Ciutat Vella,430759.393323197,4580801.791143963,1388.6902685666464,3467.0,430792.0,4580822.9,38.8,True,False
1004,1,el Raval,Ciutat Vella,430530.3401864606,4580877.117006836,1151.5925693909785,2945.0,430519.4,4580872.5,11.9,True,False
1005,1,el Raval,Ciutat Vella,430828.4951299229,4581142.953002838,1333.5984560598772,2338.0,430833.8,4581157.4,15.4,True,False
1006,1,el Raval,Ciutat Vella,430747.8452135652,4581278.949374563,1181.572130441071,1613.0,430720.7,4581252.5,37.9,True,False
1007,1,el Raval,Ciutat Vella,430595.67778380367,4581178.823243969,1098.903843972541,1899.0,430577.8,4581199.3,27.2,True,False
1008,1,el Raval,Ciutat Vella,430445.2584882112,4581033.939800193,1004.3555751987418,3245.0,430478.5,4581053.1,38.4,True,False
1009,1,el Raval,Ciutat Vella,430257.8565081526,4580999.638324074,854.6954274463492,2154.0,430213.6,4580936.2,77.4,True,False
1010,1,el Raval,Ciutat Vella,430364.8293961928,4581147.633440343,886.996742775784,2278.0,430363.0,4581165.5,18.0,True,False
1011,1,el Raval,Ciutat Vella,430217.7003024019,4581161.406777958,744.8155986157333,3077.0,430248.5,4581133.8,41.4,True,False
1012,1,el Raval,Ciutat Vella,430102.4405798922,4581235.538319606,610.3750106176873,1902.0,430120.4,4581170.6,67.4,True,False
1013,1,el Raval,Ciutat Vella,430252.78015254514,4581286.607229438,740.3311383104198,1433.0,430225.1,4581324.2,46.7,True,False
1014,1,el Raval,Ciutat Vella,430300.7917719471,4581381.2552058,773.4049092177901,1984.0,430301.1,4581360.5,20.8,True,False
1015,1,el Raval,Ciutat Vella,430120.7858716635,4581393.308650152,593.0416020616796,2231.0,430096.3,4581367.9,35.3,True,False
1016,1,el Raval,Ciutat Vella,430125.95503816416,4581595.500737373,518.2432034844659,2064.0,430124.6,4581593.1,2.8,True,False
1017,1,el Raval,Ciutat Vella,430225.8649741459,4581481.741300184,669.5430500893633,2520.0,430205.8,4581473.3,21.8,True,False
1018,1,el Raval,Ciutat Vella,430342.5837420301,4581565.990135246,692.0887531822223,1522.0,430287.7,4581557.8,55.5,True,False
1019,1,el Raval,Ciutat Vella,430626.027107289,4581415.3574799895,998.9727136700184,2845.0,430611.8,4581449.7,37.2,True,False
1020,1,el Raval,Ciutat Vella,430520.7806557998,4581652.109321257,757.0898871327424,2216.0,430457.8,4581622.3,69.7,True,False
1021,1,el Raval,Ciutat Vella,430341.42104544624,4581820.474882717,511.2155781844389,2085.0,430315.3,4581821.9,26.2,True,False
1022,2,el Barri Gòtic,Ciutat Vella,430772.8767273828,4581818.327841457,817.6441202055082,1606.0,430752.8,4581791.4,33.6,True,False
1023,2,el Barri Gòtic,Ciutat Vella,430934.7301605037,4581962.843950045,733.5099800299622,1962.0,431019.7,4582025.9,105.8,True,False
