seccio,codi_barri,nom_barri,nom_districte,x,y,d_axis_m,pop,snap_m,snapped,d_axis_net_m,egress_connector,A_car15_pre,A_car15_post,dA_car15,pct_car15,A_car15_drop,dA_car15_drop,pct_car15_drop,A_car15_turn_pre,A_car15_turn_post,pct_car15_turn,A_car30_pre,A_car30_post,dA_car30,pct_car30,H_car_pre,H_car_post,dH_car,pct_H,n_car15_pre,n_car15_post,n_car30_pre,n_car30_post,A_walk15,n_walk15,band_net,band_euclid
1001,1,el Raval,Ciutat Vella,431195.5804945168,4580638.404357757,1851.719332842896,1302.0,24.7,True,2362.983571504459,0.0,1572745.0,1572745.0,0.0,0.0,1571069.0,-1676.0,-0.1065652728191792,1435158.0,1435158.0,0.0,1606885.0,1606885.0,0.0,0.0,1070251.928390509,1069947.5031256108,-304.42526489822194,-0.02844426221740425,1031.0,1025.0,1051.0,1050.0,52530.0,24.0,2-3.5km,1-2km
1002,1,el Raval,Ciutat Vella,430922.8936169541,4581041.14669859,1450.860445978978,1400.0,53.2,True,1688.9944475175905,0.0,1567300.0,1567300.0,0.0,0.0,1565624.0,-1676.0,-0.10693549416193454,1351175.0,1351175.0,0.0,1608285.0,1608285.0,0.0,0.0,1047890.5685758883,1047609.3938193013,-281.1747565870173,-0.026832454172112784,1028.0,1022.0,1052.0,1051.0,95861.0,46.0,1-2km,1-2km
1003,1,el Raval,Ciutat Vella,430759.393323197,4580801.791143963,1388.6902685666464,3467.0,38.8,True,1706.6124174055008,0.0,1578088.0,1578088.0,0.0,0.0,1576412.0,-1676.0,-0.10620447021965822,1428122.0,1428122.0,0.0,1606885.0,1606885.0,0.0,0.0,1078143.1693180874,1077834.4446679375,-308.72465014993213,-0.028634847294464312,1034.0,1028.0,1051.0,1050.0,79988.0,42.0,1-2km,1-2km
1004,1,el Raval,Ciutat Vella,430530.3401864606,4580877.117006836,1151.5925693909785,2945.0,11.9,True,1361.6537865603625,0.0,1588268.0,1588268.0,0.0,0.0,1586592.0,-1676.0,-0.10552375291827323,1512764.0,1512764.0,0.0,1606885.0,1606885.0,0.0,0.0,1110102.6546415996,1109789.8735397102,-312.78110188944265,-0.02817587189631801,1040.0,1034.0,1051.0,1050.0,99534.0,53.0,1-2km,1-2km
1005,1,el Raval,Ciutat Vella,430828.4951299229,4581142.953002838,1333.5984560598772,2338.0,15.4,True,1546.4140794578436,0.0,1581919.0,1581919.0,0.0,0.0,1580243.0,-1676.0,-0.10594727037225041,1495156.0,1495156.0,0.0,1606885.0,1606885.0,0.0,0.0,1056411.7994132962,1056151.8773487732,-259.9220645229798,-0.024604237160862248,1036.0,1030.0,1051.0,1050.0,96091.0,46.0,1-2km,1-2km
1006,1,el Raval,Ciutat Vella,430747.8452135652,4581278.949374563,1181.572130441071,1613.0,37.9,True,1377.3070534412313,0.0,1613.0,1613.0,0.0,0.0,1613.0,0.0,0.0,1613.0,1613.0,0.0,1613.0,1613.0,0.0,0.0,1613.0,1613.0,0.0,0.0,1.0,1.0,1.0,1.0,97077.0,47.0,1-2km,1-2km
1007,1,el Raval,Ciutat Vella,430595.67778380367,4581178.823243969,1098.903843972541,1899.0,27.2,True,1257.452385592305,0.0,1899.0,1899.0,0.0,0.0,1899.0,0.0,0.0,1899.0,1899.0,0.0,1899.0,1899.0,0.0,0.0,1899.0,1899.0,0.0,0.0,1.0,1.0,1.0,1.0,109407.0,54.0,1-2km,1-2km
1008,1,el Raval,Ciutat Vella,430445.2584882112,4581033.939800193,1004.3555751987418,3245.0,38.4,True,1334.1233839046054,0.0,1567615.0,1567615.0,0.0,0.0,1565939.0,-1676.0,-0.10691400630894703,1359142.0,1359142.0,0.0,1606885.0,1606885.0,0.0,0.0,1048194.8994020208,1047900.7192038662,-294.18019815464504,-0.028065410194465776,1028.0,1022.0,1051.0,1050.0,99642.0,53.0,1-2km,1-2km
1009,1,el Raval,Ciutat Vella,430257.8565081526,4580999.638324074,854.6954274463492,2154.0,77.4,True,968.7379557515922,0.0,1589886.0,1589886.0,0.0,0.0,1588210.0,-1676.0,-0.10541636318578816,1562628.0,1562628.0,0.0,1606885.0,1606885.0,0.0,0.0,1148700.5156628618,1148376.7051743628,-323.81048849900253,-0.028189287293228605,1041.0,1036.0,1051.0,1050.0,121568.0,67.0,500m-1km,500m-1km
1010,1,el Raval,Ciutat Vella,430364.8293961928,4581147.633440343,886.996742775784,2278.0,18.0,True,1334.9242864796377,0.0,2278.0,2278.0,0.0,0.0,2278.0,0.0,0.0,2278.0,2278.0,0.0,2278.0,2278.0,0.0,0.0,2278.0,2278.0,0.0,0.0,1.0,1.0,1.0,1.0,111536.0,61.0,1-2km,500m-1km
