measure,band,n,pop,A_pre_mean,dA_mean,dA_median,dA_min,dA_max,pct_mean,n_loss,n_gain,pop_weighted_pct
car15_x100,0-250m,46,70583.0,1597862.0217391304,-319441.4130434783,-8981.0,-1600184.0,-5409.0,-19.981193640783957,46,0,-20.885907692422204
car15_x100,250-500m,42,62943.0,1597009.8095238097,-8182.0952380952385,-8492.0,-10446.0,-5409.0,-0.5126492424397205,42,0,-0.503225651778432
car15_x100,500m-1km,98,160104.0,1592218.9285714286,-9231.969387755102,-8981.0,-12923.0,-5409.0,-0.580367372331441,98,0,-0.5793785917417088
car15_x100,1-2km,250,386368.0,1534101.252,-10167.992,-10251.0,-15688.0,0.0,-0.6392032189709526,241,0,-0.6374524003811534
car15_x100,2-3.5km,296,455288.0,1567379.0743243245,-12112.27027027027,-12923.0,-15510.0,0.0,-0.7626103213151154,292,0,-0.761580084248234
car15_x100,>3.5km,335,503826.0,1545167.8597014926,-16546.650746268657,-17586.0,-23479.0,0.0,-1.0622327758401875,330,0,-1.0612729272829524
car15_x100,city,1067,1639112.0,1557370.4517338332,-25879.141518275537,-12923.0,-1600184.0,0.0,-1.629731600661187,1049,0,-1.6633102321228064
car15_drop,0-250m,46,70583.0,1597862.0217391304,-141977.5652173913,-2874.0,-1603411.0,-945.0,-8.87094584058308,46,0,-9.580344896912145
car15_drop,250-500m,42,62943.0,1597009.8095238097,-2908.8809523809523,-2874.0,-4339.0,-2874.0,-0.1821392070258106,42,0,-0.1817401283790802
car15_drop,500m-1km,98,160104.0,1592218.9285714286,-2894.30612244898,-2874.0,-4864.0,-2874.0,-0.1817925718731316,98,0,-0.1815994201832045
car15_drop,1-2km,250,386368.0,1534101.252,-2770.536,-2874.0,-2874.0,0.0,-0.1741361554809837,241,0,-0.1730044553398859
car15_drop,2-3.5km,296,455288.0,1567379.0743243245,-2835.162162162162,-2874.0,-2874.0,0.0,-0.1785421000840207,292,0,-0.1784811064709492
car15_drop,>3.5km,335,503826.0,1545167.8597014926,-2843.823880597015,-2874.0,-6128.0,0.0,-0.1825429432634975,330,0,-0.1825745962411465
car15_drop,city,1067,1639112.0,1557370.4517338332,-8829.715089034677,-2874.0,-1603411.0,0.0,-0.5539488415125214,1049,0,-0.583738674512678
car30_x100,0-250m,46,70583.0,1606885.0,-5048.239130434783,-1674.0,-112169.0,0.0,-0.3141630627228945,29,0,-0.3770230348918812
car30_x100,250-500m,42,62943.0,1606947.357142857,-717.4285714285714,0.0,-1674.0,0.0,-0.0446450781879221,18,0,-0.0389574262158877
car30_x100,500m-1km,98,160104.0,1606952.642857143,-819.9183673469388,0.0,-1674.0,0.0,-0.0510243236681806,48,0,-0.050708626005808
car30_x100,1-2km,250,386368.0,1549177.748,-957.528,-1674.0,-1674.0,0.0,-0.0595852626170565,143,0,-0.0606866816315914
car30_x100,2-3.5km,296,455288.0,1585196.9493243245,-1589.168918918919,-1674.0,-1674.0,0.0,-0.098897190677291,281,0,-0.0988629084078965
car30_x100,>3.5km,335,503826.0,1587729.9462686568,-1862.8567164179103,-1674.0,-12923.0,0.0,-0.1159290499941798,331,0,-0.117242002080678
car30_x100,city,1067,1639112.0,1581342.1968134958,-1571.261480787254,-1674.0,-112169.0,0.0,-0.0977817185861481,850,0,-0.1004874740714868
