seccio,nom_barri,pop,pct_car15,pct_car15_drop
2146,la Nova Esquerra de l'Eixample,1178.0,-99.92590663733122,-0.0886227062820856
2091,l'Antiga Esquerra de l'Eixample,2269.0,-99.8581994644202,-0.2832885975245838
2144,la Nova Esquerra de l'Eixample,1494.0,-99.78073725998136,-99.90624541110824
2065,la Dreta de l'Eixample,1813.0,-99.69577593957138,-99.88704521368888
2092,l'Antiga Esquerra de l'Eixample,1759.0,-96.02214813125144,-0.3951541588678455
2071,la Dreta de l'Eixample,1674.0,-95.42701100101428,-0.1793867519700397
2143,la Nova Esquerra de l'Eixample,1466.0,-90.39672423662388,-0.4080911004290317
2069,la Dreta de l'Eixample,1357.0,-83.59202450738816,-0.3623524750057162
2070,la Dreta de l'Eixample,1270.0,-37.16024307893333,-0.1181356633800639
2141,la Nova Esquerra de l'Eixample,1179.0,-35.44047694432619,-0.180189556403908
2093,l'Antiga Esquerra de l'Eixample,1676.0,-29.0669988163726,-99.8951501304993
2147,la Nova Esquerra de l'Eixample,2076.0,-16.619608325622796,-0.0593198741037677
2096,l'Antiga Esquerra de l'Eixample,1408.0,-13.727512956090676,-0.3099827585775451
2067,la Dreta de l'Eixample,1656.0,-3.6148646754309945,-99.8968267368278
2072,la Dreta de l'Eixample,1204.0,-2.3599637896735777,-0.2400522844217718
