Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Seccio_Censal,Import_Euros
2022,1,Ciutat Vella,1,el Raval,1,16403
2022,1,Ciutat Vella,1,el Raval,2,14708
2022,1,Ciutat Vella,1,el Raval,3,13387
2022,1,Ciutat Vella,1,el Raval,4,16566
2022,1,Ciutat Vella,1,el Raval,5,13894
2022,1,Ciutat Vella,1,el Raval,6,14903
2022,1,Ciutat Vella,1,el Raval,7,14184
2022,1,Ciutat Vella,1,el Raval,8,11486
2022,1,Ciutat Vella,1,el Raval,9,14404
2022,1,Ciutat Vella,1,el Raval,10,12662
2022,1,Ciutat Vella,1,el Raval,11,12598
2022,1,Ciutat Vella,1,el Raval,12,15534
2022,1,Ciutat Vella,1,el Raval,13,15645
2022,1,Ciutat Vella,1,el Raval,14,14931
2022,1,Ciutat Vella,1,el Raval,15,15706
2022,1,Ciutat Vella,1,el Raval,16,15272
2022,1,Ciutat Vella,1,el Raval,17,13318
2022,1,Ciutat Vella,1,el Raval,18,14876
2022,1,Ciutat Vella,1,el Raval,19,14772
2022,1,Ciutat Vella,1,el Raval,20,19568
2022,1,Ciutat Vella,1,el Raval,21,19864
2022,1,Ciutat Vella,2,el Barri Gòtic,22,23732
2022,1,Ciutat Vella,2,el Barri Gòtic,23,20758
2022,1,Ciutat Vella,2,el Barri Gòtic,25,19175
2022,1,Ciutat Vella,2,el Barri Gòtic,26,20118
2022,1,Ciutat Vella,2,el Barri Gòtic,27,17967
2022,1,Ciutat Vella,2,el Barri Gòtic,28,19557
2022,1,Ciutat Vella,2,el Barri Gòtic,29,16414
2022,1,Ciutat Vella,2,el Barri Gòtic,30,16549
2022,1,Ciutat Vella,2,el Barri Gòtic,31,15820
2022,1,Ciutat Vella,3,la Barceloneta,32,20263
2022,1,Ciutat Vella,3,la Barceloneta,33,18008
2022,1,Ciutat Vella,3,la Barceloneta,34,18127
2022,1,Ciutat Vella,3,la Barceloneta,35,18351
2022,1,Ciutat Vella,3,la Barceloneta,36,18542
2022,1,Ciutat Vella,3,la Barceloneta,37,19280
2022,1,Ciutat Vella,3,la Barceloneta,38,17161
2022,1,Ciutat Vella,3,la Barceloneta,39,18791
2022,1,Ciutat Vella,3,la Barceloneta,40,19512
2022,1,Ciutat Vella,3,la Barceloneta,41,18181
2022,1,Ciutat Vella,3,la Barceloneta,42,19150
2022,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",43,25355
2022,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",44,20940
2022,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",45,20067
2022,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",46,17922
2022,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",47,20245
2022,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",48,15845
2022,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",49,19132
2022,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",50,17985
2022,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",51,18826
2022,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",52,23539
2022,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",53,18141
2022,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",54,19720
2022,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",55,22722
2022,2,Eixample,5,el Fort Pienc,1,23120
2022,2,Eixample,5,el Fort Pienc,2,23784
2022,2,Eixample,5,el Fort Pienc,3,26779
2022,2,Eixample,5,el Fort Pienc,4,21084
2022,2,Eixample,5,el Fort Pienc,5,24892
2022,2,Eixample,5,el Fort Pienc,6,25749
2022,2,Eixample,5,el Fort Pienc,7,28715
2022,2,Eixample,5,el Fort Pienc,8,25942
2022,2,Eixample,5,el Fort Pienc,9,25143
2022,2,Eixample,5,el Fort Pienc,10,23083
2022,2,Eixample,5,el Fort Pienc,11,25040
2022,2,Eixample,5,el Fort Pienc,12,21018
2022,2,Eixample,5,el Fort Pienc,13,22484
2022,2,Eixample,5,el Fort Pienc,14,21349
2022,2,Eixample,5,el Fort Pienc,15,20743
2022,2,Eixample,5,el Fort Pienc,16,26785
2022,2,Eixample,5,el Fort Pienc,17,26993
2022,2,Eixample,5,el Fort Pienc,18,25107
2022,2,Eixample,5,el Fort Pienc,19,24516
2022,2,Eixample,5,el Fort Pienc,20,23356
2022,2,Eixample,6,la Sagrada Família,21,24017
2022,2,Eixample,6,la Sagrada Família,22,24280
2022,2,Eixample,6,la Sagrada Família,23,24982
2022,2,Eixample,6,la Sagrada Família,24,22410
2022,2,Eixample,6,la Sagrada Família,25,22635
2022,2,Eixample,6,la Sagrada Família,26,22988
2022,2,Eixample,6,la Sagrada Família,27,23339
2022,2,Eixample,6,la Sagrada Família,28,23358
2022,2,Eixample,6,la Sagrada Família,29,23989
2022,2,Eixample,6,la Sagrada Família,30,20735
2022,2,Eixample,6,la Sagrada Família,31,24993
2022,2,Eixample,6,la Sagrada Família,32,24508
2022,2,Eixample,6,la Sagrada Família,33,24335
2022,2,Eixample,6,la Sagrada Família,34,22139
2022,2,Eixample,6,la Sagrada Família,35,24967
2022,2,Eixample,6,la Sagrada Família,36,25790
2022,2,Eixample,6,la Sagrada Família,37,26990
2022,2,Eixample,6,la Sagrada Família,38,26944
2022,2,Eixample,6,la Sagrada Família,39,23674
2022,2,Eixample,6,la Sagrada Família,40,21540
2022,2,Eixample,6,la Sagrada Família,41,23463
2022,2,Eixample,6,la Sagrada Família,42,25517
2022,2,Eixample,6,la Sagrada Família,43,24839
2022,2,Eixample,6,la Sagrada Família,44,21323
