codi_barri,nom_barri,nom_districte,n_sections,n_off,n_on_axis,n_halved_x100,pop,pop_off,pop_on,pct_off_median_x100,pct_off_mean_x100,pct_off_median_drop,pct_off_median_hansen,pct_off_median_car30,d_axis_net_median_m,renda_off_median
56,Vallbona,Nou Barris,1,1,0,0,1420.0,1420.0,0.0,-0.1931055612529308,-0.1931055612529308,-0.3357432521563738,-0.0158769768831904,0.0,8152.760487680098,14194.0
54,Torre Baró,Nou Barris,2,2,0,0,2908.0,2908.0,0.0,-0.0818411257175882,-0.1085773944355073,-0.2161097519931593,-0.015473301108954951,0.0,8214.059763556876,13553.0
53,la Trinitat Nova,Nou Barris,5,5,0,0,7421.0,7421.0,0.0,0.0,0.0,-0.1074470553993427,-0.0156586441787331,0.0,6582.393901484374,15098.0
52,la Prosperitat,Nou Barris,20,20,0,0,26346.0,26346.0,0.0,0.0,0.0,-0.1068005709624796,-0.01571616326943875,0.0,5812.588071933998,17455.0
51,Verdun,Nou Barris,8,8,0,0,12558.0,12558.0,0.0,0.0,0.0,-0.1065819437723012,-0.015572599206393301,0.0,5961.082753958012,15886.5
50,les Roquetes,Nou Barris,10,10,0,0,16156.0,16156.0,0.0,0.0,0.0,-0.1068273240838887,-0.0154139337489488,0.0,6559.549307006167,14419.0
49,Canyelles,Nou Barris,5,5,0,0,6787.0,6787.0,0.0,0.0,0.0,-0.1053553322307482,-0.0156920068858231,0.0,6406.204734102343,20298.0
48,la Guineueta,Nou Barris,11,11,0,0,15056.0,15056.0,0.0,0.0,0.0,-0.1055334539789764,-0.0155898413561466,0.0,5772.843973545767,20363.0
47,Can Peguera,Nou Barris,2,2,0,0,2187.0,2187.0,0.0,0.0,0.0,-0.1057096154893168,-0.01577505606297555,0.0,5191.714690837627,15210.0
1,el Raval,Ciutat Vella,21,21,0,0,46520.0,46520.0,0.0,0.0,0.0,-0.1059472703722504,-0.0265810180653639,0.0,1116.1433201846487,14876.0
44,Vilapicina i la Torre Llobeta,Nou Barris,19,19,0,0,25667.0,25667.0,0.0,0.0,0.0,-0.1046236669221914,-0.0162520792313675,0.0,4292.189766992488,20603.0
43,Horta,Horta-Guinardó,21,21,0,0,27875.0,27875.0,0.0,0.0,0.0,-0.1051676470182211,-0.0161293750033925,0.0,4915.402524582859,22054.0
42,la Clota,Horta-Guinardó,1,1,0,0,669.0,669.0,0.0,0.0,0.0,-0.1050032547249898,-0.0163844045539859,0.0,4813.393627533204,21805.0
41,la Vall d'Hebron,Horta-Guinardó,4,4,0,0,5869.0,5869.0,0.0,0.0,0.0,-0.1046627374426571,-0.01627721267082095,0.0,5132.787817674653,23112.0
40,Montbau,Horta-Guinardó,4,3,0,0,5014.0,4145.0,0.0,0.0,0.0,-0.1047682689669011,-0.0196156690515859,0.0,5420.913787087337,21205.0
39,Sant Genís dels Agudells,Horta-Guinardó,5,5,0,0,7262.0,7262.0,0.0,0.0,0.0,-0.1047682689669011,-0.0177546675406704,0.0,4815.518546760373,19918.0
45,Porta,Nou Barris,18,18,0,0,27397.0,27397.0,0.0,0.0,0.0,-0.10556429659435065,-0.016031023419267598,0.0,4843.652434831967,18830.5
46,el Turó de la Peira,Nou Barris,10,10,0,0,16025.0,16025.0,0.0,0.0,0.0,-0.1057381227571657,-0.016040294308356,0.0,4788.633179744404,16254.5
55,Ciutat Meridiana,Nou Barris,6,6,0,0,10808.0,10808.0,0.0,0.0,-0.04559075793514108,-0.14808139373607365,-0.0158750428003127,0.0,8770.42894964371,12550.0
57,la Trinitat Vella,Sant Andreu,5,5,0,0,10358.0,10358.0,0.0,0.0,0.0,-0.1143915645094028,-0.0157381568153089,0.0,6758.399470364988,13452.0
71,Provençals del Poblenou,Sant Martí,12,12,0,0,21092.0,21092.0,0.0,0.0,0.0,-0.1047097521890023,-0.01256673876219855,0.0,3189.7763332193986,20273.0
70,el Besòs i el Maresme,Sant Martí,13,13,0,0,26349.0,26349.0,0.0,0.0,0.0,-0.1048620057298702,-0.012113501296993,0.0,4412.921463597832,14519.0
