nom_districte,n_barris,n_on_axis,pop,pop_off,pct_off_median_x100,pct_off_median_drop
Sant Andreu,7,0,149826.0,149826.0,0.0,-0.1076317734646578
Nou Barris,13,0,170736.0,170736.0,0.0,-0.1065819437723012
Sants-Montjuïc,8,0,183770.0,183770.0,0.0,-0.10643226021998532
Ciutat Vella,4,0,106028.0,106028.0,0.0,-0.10583312545158954
Les Corts,3,0,81074.0,81074.0,0.0,-0.1051272095688341
Sarrià-Sant Gervasi,6,0,148201.0,148201.0,0.0,-0.1047856926265509
Sant Martí,10,0,239465.0,239465.0,0.0,-0.1047097521890023
Eixample,6,15,266857.0,243378.0,0.0,-0.10470298174533965
Horta-Guinardó,11,0,172109.0,171240.0,0.0,-0.1046627374426571
Gràcia,5,0,121915.0,121915.0,0.0,-0.1044193170752373
