intervention_id,name,id_priority,covid_overlap,n_on_street,n_on_street_pre_post,n_any_match,n_any_pre_post,on_street_ids,on_street_descs,usable_now
BCN-1993-BORN,El Born / Ribera early pacification,D,none,0,0,0,0,,,no
BCN-2005-GRACIA-VILA,Gràcia superilla around Plaça de la Vila,D,none,0,0,0,0,,,no
BCN-2006-GRACIA-VERDI,Gràcia superilla Verdi / Virreina / Astúries,D,none,0,0,0,0,,,no
BCN-2016-POBLENOU,Poblenou Superilla,B,none,3,3,5,5,5026;5027;10019,PG. PUJADES - ROGER DE FLOR (Besós) | PG. PUJADES - WELLINGTON (Llobregat) | BADAJOZ - PUJADES (sentit muntanya),yes_on_street
BCN-2018-SANTANTONI,Sant Antoni Superilla phase 1,B,none,5,4,8,7,2018;3005;3018;3031;3032,PG. SANT ANTONI - ALCOLEA (Besòs) | RONDA SANT ANTONI - PL. PES DE LA PALLA (Sentit Urgell) | COMTE URGELL- FLORIDABLANCA | FLORIDABLANCA - ROCAFORT  (sentit Besòs) | COMTE BORRELL- MARQUÈS DE CAMPO SAGRADO  (sentit mar),yes_on_street
BCN-2018-HORTA,Horta Superilla,B,partial,0,0,0,0,,,no
BCN-2014-HOSTAFRANCS,Hostafrancs Superilla (multi-phase),B,partial,2,2,2,2,3021;3022,CREU COBERTA - BÉJAR (Baixada) | CREU COBERTA - PL. ESPANYA (Pujada),yes_on_street
BCN-2019-ARAGO-S1,Carrer d'Aragó bus-lane stage 1,C,none,11,9,14,12,2006;4029;4053;4057;4076;4077;4079;10001;10005;4104;4109,ARAGÓ - ENTENÇA (sentit Llobregat) | ARAGÓ - MUNTANER (sentit Llobregat) | ARAGÓ - RAMBLA DE CATALUNYA (sentit Llobregat) | ARAGÓ - INDEPENDÈNCIA (sentit Llobregat) | ARAGÓ - PADILLA (sentit Llobregat) | ARAGÓ - NÀPOLS (sentit Llobregat) | ARAGÓ - BAILÈN (sentit Llobregat) | ARAGÓ - NAVAS (Llobregat) | ARAGÓ - BILBAO (Besòs) | ARAGÓ - COMTE D'URGELL (sentit Llobregat) | ARAGÓ - MARINA (sentit Llobregat),yes_on_street
BCN-2020-CONSELLDECENT-TAC,Consell de Cent tactical sidewalk,C,yes,2,2,12,9,4056;4067,CONSELL DE CENT - CASTILLEJOS | CONSELL DE CENT - BRUC (sentit Besòs),yes_on_street
BCN-2020-GIRONA-TAC,Girona tactical sidewalk,C,yes,1,1,5,4,4066,GIRONA - CONSELL DE CENT (sentit muntanaya),yes_on_street
BCN-2020-ROGERDELLURIA,Roger de Llúria bike lane,C,yes,3,3,3,3,4031;4046;4065,ROGER DE LLÚRIA - DIPUTACIÓ (sentit muntanya) | ROGER DE LLÚRIA - MALLORCA | ROGER DE LLÚRIA - CASP  (sentit muntanya),yes_on_street
