intervention_id,intervention_name,id_priority,match_role,station_id,station_desc,n_lanes,lon,lat,n_years,years,n_pre,n_post,has_pre_post,pre_years,post_years
BCN-2016-POBLENOU,Poblenou Superilla,B,cross_street,4030,AV. DIAGONAL - LLACUNA (Baixada),3,2.19457865442584,41.4050943577355,9,"2017,2018,2019,2020,2021,2022,2023,2024,2025",2,3,1,"2017,2018","2019,2021,2022"
BCN-2016-POBLENOU,Poblenou Superilla,B,on_street,5026,PG. PUJADES - ROGER DE FLOR (Besós),4,2.18510436978086,41.3901035183585,9,"2017,2018,2019,2020,2021,2022,2023,2024,2025",2,3,1,"2017,2018","2019,2021,2022"
BCN-2016-POBLENOU,Poblenou Superilla,B,on_street,5027,PG. PUJADES - WELLINGTON (Llobregat),1,2.18501329421997,41.3901733502094,8,"2017,2019,2020,2021,2022,2023,2024,2025",1,3,1,2017,"2019,2021,2022"
BCN-2016-POBLENOU,Poblenou Superilla,B,on_street,10019,BADAJOZ - PUJADES (sentit muntanya),3,2.19543251945246,41.3987156768697,9,"2017,2018,2019,2020,2021,2022,2023,2024,2025",2,3,1,"2017,2018","2019,2021,2022"
BCN-2016-POBLENOU,Poblenou Superilla,B,cross_street,17005,AV. DIAGONAL - PERE IV (Pujada),3,2.20015975809711,41.4067401081025,9,"2017,2018,2019,2020,2021,2022,2023,2024,2025",2,3,1,"2017,2018","2019,2021,2022"
BCN-2018-SANTANTONI,Sant Antoni Superilla phase 1,B,on_street,2018,PG. SANT ANTONI - ALCOLEA (Besòs),2,2.136317347654,41.3762008780484,9,"2017,2018,2019,2020,2021,2022,2023,2024,2025",2,3,1,"2017,2018","2019,2021,2022"
BCN-2018-SANTANTONI,Sant Antoni Superilla phase 1,B,on_street,3005,RONDA SANT ANTONI - PL. PES DE LA PALLA (Sentit Urgell),2,2.163349079,41.380996415,1,2017,1,0,0,2017,
BCN-2018-SANTANTONI,Sant Antoni Superilla phase 1,B,cross_street,3012,SEPÚLVEDA - COMTE BORRELL  (sentit Llobregat),3,2.15830635936938,41.3800228406693,9,"2017,2018,2019,2020,2021,2022,2023,2024,2025",2,3,1,"2017,2018","2019,2021,2022"
BCN-2018-SANTANTONI,Sant Antoni Superilla phase 1,B,on_street,3018,COMTE URGELL- FLORIDABLANCA,3,2.16047984134544,41.3807267821097,9,"2017,2018,2019,2020,2021,2022,2023,2024,2025",2,3,1,"2017,2018","2019,2021,2022"
BCN-2018-SANTANTONI,Sant Antoni Superilla phase 1,B,cross_street,3024,ROCAFORT - TAMARIT (mar),2,2.15788193499247,41.3757853800346,8,"2017,2019,2020,2021,2022,2023,2024,2025",1,3,1,2017,"2019,2021,2022"
BCN-2018-SANTANTONI,Sant Antoni Superilla phase 1,B,cross_street,3027,AV. PARAL·LEL - COMTE BORRELL (Muntanya),3,2.16545762827654,41.375002586274,8,"2017,2019,2020,2021,2022,2023,2024,2025",1,3,1,2017,"2019,2021,2022"
BCN-2018-SANTANTONI,Sant Antoni Superilla phase 1,B,on_street,3031,FLORIDABLANCA - ROCAFORT  (sentit Besòs),3,2.15697555342451,41.3773211414533,9,"2017,2018,2019,2020,2021,2022,2023,2024,2025",2,3,1,"2017,2018","2019,2021,2022"
BCN-2018-SANTANTONI,Sant Antoni Superilla phase 1,B,on_street,3032,COMTE BORRELL- MARQUÈS DE CAMPO SAGRADO  (sentit mar),1,2.16475845609665,41.3757177171978,9,"2017,2018,2019,2020,2021,2022,2023,2024,2025",2,3,1,"2017,2018","2019,2021,2022"
BCN-2014-HOSTAFRANCS,Hostafrancs Superilla (multi-phase),B,on_street,3021,CREU COBERTA - BÉJAR (Baixada),2,2.14676982982649,41.3751288229608,9,"2017,2018,2019,2020,2021,2022,2023,2024,2025",2,3,1,"2017,2018","2019,2021,2022"
BCN-2014-HOSTAFRANCS,Hostafrancs Superilla (multi-phase),B,on_street,3022,CREU COBERTA - PL. ESPANYA (Pujada),2,2.1467520255421,41.3752006812414,9,"2017,2018,2019,2020,2021,2022,2023,2024,2025",2,3,1,"2017,2018","2019,2021,2022"
BCN-2019-ARAGO-S1,Carrer d'Aragó bus-lane stage 1,C,on_street,2006,ARAGÓ - ENTENÇA (sentit Llobregat),4,2.14793621,41.381069189,7,"2017,2018,2019,2020,2021,2022,2023",2,2,1,"2018,2019","2021,2022"
BCN-2019-ARAGO-S1,Carrer d'Aragó bus-lane stage 1,C,on_street,4029,ARAGÓ - MUNTANER (sentit Llobregat),5,2.15817038508185,41.3870958130359,9,"2017,2018,2019,2020,2021,2022,2023,2024,2025",2,2,1,"2018,2019","2021,2022"
BCN-2019-ARAGO-S1,Carrer d'Aragó bus-lane stage 1,C,on_street,4053,ARAGÓ - RAMBLA DE CATALUNYA (sentit Llobregat),5,2.16298401194208,41.3907020230178,9,"2017,2018,2019,2020,2021,2022,2023,2024,2025",2,2,1,"2018,2019","2021,2022"
BCN-2019-ARAGO-S1,Carrer d'Aragó bus-lane stage 1,C,on_street,4057,ARAGÓ - INDEPENDÈNCIA (sentit Llobregat),4,2.18431180885805,41.4067177814795,8,"2017,2019,2020,2021,2022,2023,2024,2025",1,2,1,2019,"2021,2022"
BCN-2019-ARAGO-S1,Carrer d'Aragó bus-lane stage 1,C,on_street,4076,ARAGÓ - PADILLA (sentit Llobregat),4,2.17932605908427,41.4029586518706,8,"2017,2019,2020,2021,2022,2023,2024,2025",1,2,1,2019,"2021,2022"
BCN-2019-ARAGO-S1,Carrer d'Aragó bus-lane stage 1,C,on_street,4077,ARAGÓ - NÀPOLS (sentit Llobregat),5,2.17395160686523,41.3989680268534,9,"2017,2018,2019,2020,2021,2022,2023,2024,2025",2,2,1,"2018,2019","2021,2022"
BCN-2019-ARAGO-S1,Carrer d'Aragó bus-lane stage 1,C,on_street,4079,ARAGÓ - BAILÈN (sentit Llobregat),5,2.17055853655275,41.3964247174287,9,"2017,2018,2019,2020,2021,2022,2023,2024,2025",2,2,1,"2018,2019","2021,2022"
BCN-2019-ARAGO-S1,Carrer d'Aragó bus-lane stage 1,C,cross_street,4090,ARIBAU - ARAGÓ  (sentit muntanya),4,2.15924172322705,41.3884915607715,9,"2017,2018,2019,2020,2021,2022,2023,2024,2025",2,2,1,"2018,2019","2021,2022"
BCN-2019-ARAGO-S1,Carrer d'Aragó bus-lane stage 1,C,cross_street,4095,VILLARROEL - ARAGÓ  (sentit mar),3,2.1569179201233,41.3850904392878,8,"2017,2019,2020,2021,2022,2023,2024,2025",1,2,1,2019,"2021,2022"
BCN-2019-ARAGO-S1,Carrer d'Aragó bus-lane stage 1,C,cross_street,4098,PG. GRÀCIA - ARAGÓ (Baixada),2,2.16520071322411,41.3917338254457,9,"2017,2018,2019,2020,2021,2022,2023,2024,2025",2,2,1,"2018,2019","2021,2022"
