id,desc,tipus,is_traffic,n_lanes,district,barri,lon,lat,meta_year,years_with_counts,n_years_with_counts
10-SMD-1,RONDA DE DALT - MONTBAU (Llobregat),Rondes,False,3,0,0,2.14560189068212,41.4319494282875,2025,"2018,2019,2020,2021,2022,2023,2024,2025",8
10-SMD-2,RONDA DE DALT - MONTBAU (Trinitat),Rondes,False,3,0,0,2.14525543316658,41.4309126482991,2025,"2018,2019,2020,2021,2022,2023,2024,2025",8
10001,ARAGÓ - NAVAS (Llobregat),Trànsit,True,2,10,65,2.19073536914761,41.4116798138391,2025,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9
10002,BAC DE RODA - BOLIVIA (Pujada),Trànsit,True,4,10,71,2.19898280387419,41.4113366439258,2025,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9
10005,ARAGÓ - BILBAO (Besòs),Trànsit,True,2,10,65,2.19188571810162,41.4122858738082,2025,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9
10007,CANTÀBRIA - GUIPÚSCOA (Baixada),Trànsit,True,2,10,72,2.20189861094284,41.4192858604983,2024,"2017,2018,2023,2024",4
10008,CANTÀBRIA - GUIPÚSCOA (Pujada),Trànsit,True,2,10,72,2.20106339805483,41.4200433612197,2025,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9
10009,GUIPÚSCOA - MARESME (Llobregat),Trànsit,True,2,10,73,2.20302142326192,41.4209259389645,2025,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9
1001,AV. DIAGONAL - TORRE MELINA (Entrada),Trànsit,True,3,4,21,2.10952517290599,41.3837355108734,2025,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9
10010,GUIPÚSCOA - PUIGCERDÀ (Besós),Trànsit,True,2,10,73,2.20324041643966,41.4207915403937,2025,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9
10011,RBLA. PRIM - CONCILI DE TRENTO (Baixada),Trànsit,True,2,10,73,2.20629082616235,41.4209026395824,2025,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9
10012,RBLA. PRIM - CONCILI DE TRENTO (Pujada),Trànsit,True,2,10,73,2.20582046709715,41.4217910120223,2025,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9
10013,RBLA. PRIM - CRISTÓBAL DE MOURA (Baixada),Trànsit,True,2,10,70,2.21346256192603,41.415434528203,2025,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9
10014,RBLA. PRIM - CRISTÓBAL DE MOURA (Pujada),Trànsit,True,2,10,70,2.2127448089634,41.416503515673,2025,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9
10015,BILBAO - CONCILI DE TRENTO (sentit mar),Trànsit,True,2,10,65,2.19214727380226,41.4112919076192,2025,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9
10017,RBLA. GUIPÚSCOA - EXTREMADURA (Entrada),Trànsit,True,2,10,65,2.20842324538341,41.4249817109825,2025,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9
10018,RBLA. GUIPÚSCOA - CAMÍ DE LA VERNEDA (Sortida),Trànsit,True,2,10,73,2.20866893012187,41.4248191757687,2025,"2017,2019,2020,2021,2022,2023,2024,2025",8
10019,BADAJOZ - PUJADES (sentit muntanya),Trànsit,True,3,10,68,2.19543251945246,41.3987156768697,2025,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9
1002,AV. DIAGONAL - AV. SARRIÀ (Entrada),Trànsit,True,2,4,19,2.13996624545115,41.3914833997392,2025,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9
1003,AV. DIAGONAL - ADOLF FLORENSA (Entrada),Trànsit,True,3,4,20,2.11646676063538,41.385345761979,2025,"2017,2019,2020,2021,2022,2023,2025",7
10031,SANTANDER - CANEM (sentit Llobregat),Trànsit,True,1,9,59,2.204336,41.43027,2025,"2024,2025",2
10032,SANTANDER - CANEM (sentit Besòs),Trànsit,True,2,9,59,2.204702,41.43027,2025,"2024,2025",2
1004,AV. DIAGONAL - PASCUAL VILA (Sortida),Trànsit,True,4,4,20,2.11625845637075,41.3855740484895,2025,"2017,2018,2019,2020,2021,2022,2023,2025",8
1005,AV. DIAGONAL - BEETHOVEN (Sortida),Trànsit,True,5,4,19,2.13989839005131,41.391564053921,2025,"2017,2019,2020,2021,2022,2023,2024,2025",8
1006,AV. DIAGONAL - PLAÇA PIUS XII (Entrada),Trànsit,True,2,4,20,2.12380055719989,41.387374634778,2024,"2017,2018,2019,2020,2021,2022,2023,2024",8
1007,AV. DIAGONAL- DOCTOR FERRAN (Sortida),Trànsit,True,4,4,20,2.12373816821195,41.3874730063351,2025,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9
1008,CAPITÀ ARENAS - MANILA (baixada),Trànsit,True,4,4,21,2.12637832464327,41.3896380640375,2025,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9
1009,PG. MANUEL GIRONA - BENET I MATEU (sentit Llobregat),Trànsit,True,3,4,21,2.12763920293606,41.3919462558656,2025,"2017,2019,2020,2021,2022,2023,2024,2025",8
1010,AV. DIAGONAL - GANDESA (Sortida),Trànsit,True,4,4,19,2.12857747808993,41.3886843678709,2025,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9
1011,AV. DIAGONAL - GANDESA (Entrada),Trànsit,True,3,4,19,2.12863069882455,41.3885945980044,2025,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9
1012,AV. DIAGONAL - TORRE MELINA (Lateral Entrada),Trànsit,True,2,4,21,2.11068541931338,41.3838466937179,2025,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9
1013,AV. PEDRALBES - PG. MANUEL GIRONA (Baixada),Trànsit,True,2,4,21,2.1200198822005,41.38923227805,2025,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9
1014,AV. SARRIÀ - DOCTOR FLEMING (pujada),Trànsit,True,4,5,24,2.1359160000107,41.3916298692755,2025,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9
1015,AV. SARRIÀ - AV. JOSEP TARRADELLAS,Trànsit,True,4,2,8,2.14307827376168,41.3905703600706,2025,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9
1016,AV. ESPLUGUES - SANTA CATERINA DE SIENA (Besós),Trànsit,True,1,4,21,2.11072370495595,41.3909736513673,2025,"2017,2018,2019,2020,2022,2023,2024,2025",8
1017,AV. DOCTOR MARAÑÓN - BALDIRI REIXAC (Pujada),Trànsit,True,3,4,20,2.11305345803651,41.3827211329976,2024,"2017,2020,2021,2022,2023,2024",6
1018,AV. DIAGONAL - TORRE MELINA (Sortida),Trànsit,True,4,4,21,2.10848537576114,41.3835833030717,2025,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9
1019,AV. DOCTOR MARAÑÓN - PAU GARGALLO (Baixada),trànsit,True,3,4,20,2.112958067,41.382553474,2017,"2017,2020,2021,2022",4
1021,GONZÁLEZ TABLAS - AV. EXÈRCIT (Baixada),Trànsit,True,2,4,21,2.11054763467226,41.3848607688299,2025,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9
1022,AV. PEDRALBES - PG. MANUEL GIRONA (Pujada),Trànsit,True,2,4,21,2.11915017830002,41.3899967348895,2025,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9
1026,AV. ESPLUGUES - MIRET I SANS (Llobregat),Trànsit,True,2,4,21,2.11068650735979,41.3910102929535,2025,"2017,2018,2020,2021,2022,2023,2024,2025",8
1027,DOCTOR FERRAN - PG. MANUEL GIRONA (baixada),Trànsit,True,3,4,21,2.1237037935422,41.3906592623485,2025,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9
1028,ARISTIDES MAILLOL - CARDENAL REIG (Baixada),Trànsit,True,3,4,20,2.12016648138265,41.3788618827201,2025,"2017,2018,2019,2020,2021,2022,2025",7
1029,ARISTIDES MAILLOL - CARDENAL REIG (Pujada),Trànsit,True,3,4,20,2.12026132638103,41.3789667368511,2025,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9
1030,JOAN XXIII - MARTÍ I FRANQUÉS (Llobregat),Trànsit,True,1,4,20,2.12184772928002,41.3821916666666,2025,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9
1031,JOAN XXIII - MENÉNDEZ PELAYO (Besòs),Trànsit,True,1,4,20,2.12199741972438,41.3821472222222,2025,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9
1032,GRAN VÍA CARLES III - TRAV. DE LES CORTS (Pujada),Trànsit,True,2,4,20,2.12817127446172,41.3829592063285,2025,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9
1033,GRAN VÍA CARLES III - TRAV. DE LES CORTS (Baixada),Trànsit,True,3,4,20,2.12810394464394,41.3818510282584,2025,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9
11-SMD-1,RONDA DE DALT - VALL D'HEBRON (Llobregat),Rondes,False,3,0,0,2.14246531259924,41.4253446384796,2025,"2018,2019,2020,2021,2022,2023,2024,2025",8
11-SMD-2,RONDA DE DALT - VALL D'HEBRON (Trinitat),Rondes,False,3,0,0,2.14198498941265,41.4241063573498,2025,"2018,2020,2021,2022,2023,2024,2025",7
11001,AV. ESTATUT- LISBOA (Pujada),Trànsit,True,2,7,37,2.15522900634285,41.4306514538133,2025,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9
11002,AV. ESTATUT - CAN TRAVI NOU (Baixada),Trànsit,True,2,7,37,2.15416783936624,41.431797826656,2025,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9
11003,AV. ESTATUT - PL. CIUTADELLA (Pujada),Trànsit,True,3,7,37,2.15449840389739,41.4315644473508,2025,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9
11004,AV. ESTATUT - PG. VALLDAURA (Baixada),Trànsit,True,2,7,43,2.15343747453683,41.4359420769539,2025,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9
11005,PG. SANT GERVASI - PL. ALFONS COMÍN (sentit muntanya),Trànsit,True,2,6,28,2.13772155292881,41.4136942318135,2025,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9
11006,AV. VALLCARCA - CAPELLADES (Pujada),Trànsit,True,1,6,28,2.14075623218984,41.4197848756243,2025,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9
11007,ESTEVE TERRADES - PL. ALFONS COMÍN (Pujada),Trànsit,True,2,6,28,2.13828231395387,41.4153164010651,2024,"2017,2018,2019,2020,2021,2022,2023,2024",8
11008,TÚNEL DE LA ROVIRA - BOCA NORD (Sentit Horta),Trànsit,True,2,7,43,2.15838144072675,41.423738999396,2024,"2017,2018,2019,2020,2021,2022,2023,2024",8
11009,TÚNEL DE LA ROVIRA - BOCA NORD (Sentit Guinardó),Trànsit,True,2,7,35,2.15820319678061,41.4237056720282,2025,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9
11010,CTRA. D'HORTA A CERDANYOLA - RONDA DE DALT (Entrada),Trànsit,True,2,7,43,2.15342694147954,41.4371872086848,2025,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9
11011,CTRA. D'HORTA A CERDANYOLA - AV. ESTATUT (Sortida),Trànsit,True,1,7,43,2.15350250879794,41.4372114000455,2025,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9
11012,AV. ESPLUGUES - JARDINS CERVANTES (Entrada),Trànsit,True,2,4,21,2.10533737568672,41.3860691651983,2025,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9
11013,AV. ESPLUGUES - GONZÁLEZ TABLAS (Sortida),Trànsit,True,2,4,21,2.10555371036138,41.3866612935988,2025,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9
11014,AV. VALLVIDRERA (Entrada),Trànsit,True,1,5,23,2.11692952257796,41.4043311996354,2025,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9
11015,AV. VALLVIDRERA (Sortida),Trànsit,True,1,5,23,2.11693965961916,41.4043781660851,2025,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9
11018,AV. REPÚBLICA ARGENTINA - VIADUCTE VALLCARCA (Pujada),Trànsit,True,2,6,28,2.14291541285985,41.4115300088469,2025,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9
11019,AV. REPÚBLICA ARGENTINA - VIADUCTE VALLCARCA (Baixada),Trànsit,True,2,6,28,2.14369728978358,41.4114146278194,2025,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9
11020,AV. REPÚBLICA ARGENTINA - PL. ALFONSO COMÍN (baixada),Trànsit,True,2,6,28,2.13814411812842,41.4138256777568,2025,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9
11021,PG. SANT GERVASI - GARCÍA MARIÑO (pujada),Trànsit,True,2,5,27,2.13790255158388,41.4129384515837,2025,"2017,2018,2019,2020,2021,2022,2023,2025",8
11022,CRAYWINCKEL - AV. REPÚBLICA ARGENTINA (sentit Llobregat),Trànsit,True,2,6,28,2.13953949979911,41.4121269843752,2025,"2017,2018,2019,2020,2022,2023,2024,2025",8
11023,ESTEVE TERRADES - JOSEP JOVER (Pujada),Trànsit,True,2,6,28,2.14040694254619,41.4139797834488,2025,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9
11024,ESTEVE TERRADES - JOSEP JOVER (Baixada),Trànsit,True,1,6,28,2.14094732742427,41.4133275465274,2025,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9
11025,AV. VALLCARCA - GUSTAVO BÈCQUER (Pujada),Trànsit,True,1,6,28,2.14191349787258,41.4162357214964,2025,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9
11026,AV. VALLCARCA - GUSTAVO BÈCQUER (Baixada),Trànsit,True,1,6,28,2.14222140513191,41.4156068443148,2025,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9
11027,GENERAL VIVES - MAJOR DE SARRIÀ (Besòs),Trànsit,True,2,5,23,2.1169058220238,41.4037701460838,2025,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9
11028,GENERAL VIVES - MAJOR DE SARRIÀ (Llobregat),Trànsit,True,2,5,23,2.11637707646396,41.4034530847319,2025,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9
11030,AV. TIBIDABO - PG. SANT GERVASI (pujada),Trànsit,True,1,5,25,2.13678347788775,41.4106242123752,2025,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9
11031,VIADUCTE VALLCARCA - PL. MONS (sentit Llobregat),Trànsit,True,2,6,28,2.14341629773427,41.4117871333879,2025,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9
11032,PG. MARE DE DÉU DEL COLL - PL. MONS (sentit Besòs),Trànsit,True,1,6,28,2.144823314,41.413590935,2019,"2017,2018,2019,2020,2021,2022",6
11033,AV. VALLCARCA - AGRAMUNT (Pujada),Trànsit,True,2,6,28,2.14728360572434,41.4100782574757,2025,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9
11034,AV. VALLCARCA - AGRAMUNT (Baixada),Trànsit,True,1,6,28,2.14706311474828,41.410195605979,2025,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9
12-SMD-1,RONDA DE DALT - HOSPITAL MILITAR (Llobregat),Rondes,False,3,0,0,2.13917225612619,41.4183813875655,2025,"2018,2019,2020,2021,2022,2023,2024,2025",8
12-SMD-2,RONDA DE DALT - HOSPITAL MILITAR (Trinitat),Rondes,False,3,0,0,2.13917246540104,41.4183795977361,2025,"2018,2019,2020,2021,2022,2023,2024,2025",8
12001,PG. ZONA FRANCA - FOC (Pujada),Trànsit,True,2,3,13,2.1415185233005,41.3569852262125,2025,2025,1
12002,PG. ZONA FRANCA - ESTANY (Baixada),Trànsit,True,2,3,13,2.14143981416746,41.3567689108824,2025,"2024,2025",2
12003,FOC - FERRO (sentit Besòs),Trànsit,True,2,3,13,2.13764236118537,41.3546161907408,2025,"2024,2025",2
12004,FOC - URANI (sentit Llobregat),Trànsit,True,2,3,13,2.13754319646512,41.3546580612467,2025,"2024,2025",2
13-SMD-1,RONDA DE DALT - PL. ALFONS COMIN (Llobregat),Rondes,False,3,0,0,2.13612188577386,41.4152386865817,2025,"2018,2019,2020,2021,2022,2023,2024,2025",8
13-SMD-2,RONDA DE DALT - PL. ALFONS COMIN (Trinitat),Rondes,False,3,0,0,2.1359870118626,41.4150894308117,2025,"2018,2019,2020,2021,2022,2023,2024,2025",8
13001,PG. MARAGALL - MOSSEN JOSEP BUNDÓ (Sentit Eixample),Trànsit,True,2,8,44,2.16821263086241,41.4274041222241,2025,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9
13002,PG. MARAGALL - SABASTIDA (Sentit Horta),Trànsit,True,2,8,44,2.1682073708822,41.4274779481049,2025,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9
13003,TAJO - BAIXADA MERCAT (Sentit Pg. Maragall),Trànsit,True,2,7,43,2.16096420627312,41.4295602825903,2025,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9
