station_id,desc,lon,lat,dist_m_nearest_axis,nearest_axis,dist_m_that_axis,distance_bin,years_with_counts,n_years_with_counts,distance_metric
4002,MUNTANER - CONSELL DE CENT  (sentit mar),2.15999405057183,41.3861943064478,0.0,consell_de_cent,0.0,on_or_immediate,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9,euclidean_utm31n_interim
4061,PAU CLARIS - CONSELL DE CENT  (sentit mar),2.16782623743917,41.392200590956,0.0,consell_de_cent,0.0,on_or_immediate,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9,euclidean_utm31n_interim
4066,GIRONA - CONSELL DE CENT (sentit muntanaya),2.170492432,41.395294749,0.0,consell_de_cent,0.0,on_or_immediate,"2017,2018,2019,2020,2021,2022",6,euclidean_utm31n_interim
4067,CONSELL DE CENT - BRUC (sentit Besòs),2.170175343,41.394429536,0.0,consell_de_cent,0.0,on_or_immediate,"2017,2018,2019,2020,2021,2022",6,euclidean_utm31n_interim
4072,CASANOVA - CONSELL DE CENT  (sentit muntanya),2.1580927938814,41.3859229631157,0.0,consell_de_cent,0.0,on_or_immediate,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9,euclidean_utm31n_interim
4106,VILAMARI - CONSELL DE CENT (sentit muntanya),2.14950352907181,41.3787849800429,0.0,consell_de_cent,0.0,on_or_immediate,"2022,2023,2025",3,euclidean_utm31n_interim
4033,ARIBAU - DIPUTACIÓ  (sentit muntanya),2.1611155956212,41.3870630464236,0.7,consell_de_cent,0.7,on_or_immediate,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9,euclidean_utm31n_interim
4068,GRAN VIA - GIRONA,2.17356197276934,41.39342660503,19.8,girona,19.8,on_or_immediate,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9,euclidean_utm31n_interim
4095,VILLARROEL - ARAGÓ  (sentit mar),2.1569179201233,41.3850904392878,20.7,consell_de_cent,20.7,on_or_immediate,"2017,2019,2020,2021,2022,2023,2024,2025",8,euclidean_utm31n_interim
4104,ARAGÓ - COMTE D'URGELL (sentit Llobregat),2.154269038,41.38422424,26.4,borrell,26.4,on_or_immediate,"2022,2023,2024,2025",4,euclidean_utm31n_interim
4047,VALÈNCIA - GIRONA,2.16905147086661,41.397001041925,32.5,girona,32.5,on_or_immediate,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9,euclidean_utm31n_interim
3004,GRAN VIA - ROCAFORT  (sentit Besòs),2.15453692917648,41.3790627934243,36.3,rocafort,36.3,on_or_immediate,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9,euclidean_utm31n_interim
4026,PG. SANT JOAN - DIPUTACIÓ (Pujada),2.17373623397117,41.396386975798,42.6,consell_de_cent,42.6,0_250m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9,euclidean_utm31n_interim
4058,PASSEIG DE GRÀCIA - DIPUTACIÓ (Pujada),2.1667568616092,41.3907453585242,49.4,consell_de_cent,49.4,0_250m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9,euclidean_utm31n_interim
4031,ROGER DE LLÚRIA - DIPUTACIÓ (sentit muntanya),2.16932663816795,41.3927596717768,59.7,consell_de_cent,59.7,0_250m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9,euclidean_utm31n_interim
2016,ENTENÇA - DIPUTACIÓ (sentit muntanya),2.151166703,41.379197455,67.0,consell_de_cent,67.0,0_250m,"2017,2018,2019,2020,2021,2022,2023",7,euclidean_utm31n_interim
3006,GRAN VIA - VILADOMAT  (sentit Besòs),2.15681723918066,41.3807773965116,78.2,borrell,78.2,0_250m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9,euclidean_utm31n_interim
4079,ARAGÓ - BAILÈN (sentit Llobregat),2.17055853655275,41.3964247174287,85.7,girona,85.7,0_250m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9,euclidean_utm31n_interim
4025,AV. DIAGONAL - GIRONA (Baixada),2.167817154,41.398487563,91.8,girona,91.8,0_250m,"2017,2018,2019,2020",4,euclidean_utm31n_interim
4052,DIPUTACIÓ - BALMES,2.16371476116981,41.3878586296077,92.5,consell_de_cent,92.5,0_250m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9,euclidean_utm31n_interim
4021,COMTE URGELL- DIPUTACIÓ  (sentit muntanya),2.15691662946976,41.3833604302786,97.3,consell_de_cent,97.3,0_250m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9,euclidean_utm31n_interim
2008,AV. ROMA - CALÀBRIA  (sentit Llobregat),2.1497682341535,41.3832232168521,99.3,rocafort,99.3,0_250m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",9,euclidean_utm31n_interim
4024,AV. DIAGONAL - BAILÉN (Pujada),2.167734164,41.398633454,106.4,girona,106.4,0_250m,"2017,2018,2019,2020",4,euclidean_utm31n_interim
