station_id,desc,lon,lat,euclid_m,network_m,snap_m,network_bin,euclid_bin,years_with_counts,distance_metric
4002,MUNTANER - CONSELL DE CENT  (sentit mar),2.15999405057183,41.3861943064478,0.0,0,1.3,on_or_immediate,on_or_immediate,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n
4061,PAU CLARIS - CONSELL DE CENT  (sentit mar),2.16782623743917,41.392200590956,0.0,0,17.0,on_or_immediate,on_or_immediate,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n
4066,GIRONA - CONSELL DE CENT (sentit muntanaya),2.170492432,41.395294749,0.0,0,20.7,on_or_immediate,on_or_immediate,"2017,2018,2019,2020,2021,2022",undirected_osm_highway_utm31n
4067,CONSELL DE CENT - BRUC (sentit Besòs),2.170175343,41.394429536,0.0,0,21.7,on_or_immediate,on_or_immediate,"2017,2018,2019,2020,2021,2022",undirected_osm_highway_utm31n
4072,CASANOVA - CONSELL DE CENT  (sentit muntanya),2.1580927938814,41.3859229631157,0.0,0,17.5,on_or_immediate,on_or_immediate,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n
4106,VILAMARI - CONSELL DE CENT (sentit muntanya),2.14950352907181,41.3787849800429,0.0,0,3.8,on_or_immediate,on_or_immediate,"2022,2023,2025",undirected_osm_highway_utm31n
4033,ARIBAU - DIPUTACIÓ  (sentit muntanya),2.1611155956212,41.3870630464236,0.7,0,1.5,on_or_immediate,on_or_immediate,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n
4068,GRAN VIA - GIRONA,2.17356197276934,41.39342660503,19.8,17.4,16.7,on_or_immediate,on_or_immediate,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n
4095,VILLARROEL - ARAGÓ  (sentit mar),2.1569179201233,41.3850904392878,20.7,0,18.5,on_or_immediate,on_or_immediate,"2017,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n
4104,ARAGÓ - COMTE D'URGELL (sentit Llobregat),2.154269038,41.38422424,26.4,13.6,13.0,on_or_immediate,on_or_immediate,"2022,2023,2024,2025",undirected_osm_highway_utm31n
4047,VALÈNCIA - GIRONA,2.16905147086661,41.397001041925,32.5,53.0,17.7,0_250m,on_or_immediate,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n
3004,GRAN VIA - ROCAFORT  (sentit Besòs),2.15453692917648,41.3790627934243,36.3,14.3,40.4,on_or_immediate,on_or_immediate,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n
4026,PG. SANT JOAN - DIPUTACIÓ (Pujada),2.17373623397117,41.396386975798,42.6,34.6,6.0,on_or_immediate,0_250m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n
4058,PASSEIG DE GRÀCIA - DIPUTACIÓ (Pujada),2.1667568616092,41.3907453585242,49.4,244.4,17.8,0_250m,0_250m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n
4031,ROGER DE LLÚRIA - DIPUTACIÓ (sentit muntanya),2.16932663816795,41.3927596717768,59.7,45.7,12.8,0_250m,0_250m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n
2016,ENTENÇA - DIPUTACIÓ (sentit muntanya),2.151166703,41.379197455,67.0,46.9,26.8,0_250m,0_250m,"2017,2018,2019,2020,2021,2022,2023",undirected_osm_highway_utm31n
3006,GRAN VIA - VILADOMAT  (sentit Besòs),2.15681723918066,41.3807773965116,78.2,124.0,42.6,0_250m,0_250m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n
4079,ARAGÓ - BAILÈN (sentit Llobregat),2.17055853655275,41.3964247174287,85.7,108.6,16.4,0_250m,0_250m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n
4025,AV. DIAGONAL - GIRONA (Baixada),2.167817154,41.398487563,91.8,179.2,33.5,0_250m,0_250m,"2017,2018,2019,2020",undirected_osm_highway_utm31n
4052,DIPUTACIÓ - BALMES,2.16371476116981,41.3878586296077,92.5,148.8,16.1,0_250m,0_250m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n
4021,COMTE URGELL- DIPUTACIÓ  (sentit muntanya),2.15691662946976,41.3833604302786,97.3,116.4,17.1,0_250m,0_250m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n
2008,AV. ROMA - CALÀBRIA  (sentit Llobregat),2.1497682341535,41.3832232168521,99.3,170.9,21.1,0_250m,0_250m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n
4024,AV. DIAGONAL - BAILÉN (Pujada),2.167734164,41.398633454,106.4,195.6,26.1,0_250m,0_250m,"2017,2018,2019,2020",undirected_osm_highway_utm31n
4064,DIPUTACIÓ - BRUC,2.17019539209557,41.3927688423449,115.9,138.6,20.2,0_250m,0_250m,"2017,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n
4098,PG. GRÀCIA - ARAGÓ (Baixada),2.16520071322411,41.3917338254457,120.3,232.7,5.4,0_250m,0_250m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n
4029,ARAGÓ - MUNTANER (sentit Llobregat),2.15817038508185,41.3870958130359,126.7,208.6,10.8,0_250m,0_250m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n
4080,BAILÈN - DIPUTACIÓ  (sentit mar),2.17390413431999,41.394451912494,127.2,144.0,20.4,0_250m,0_250m,"2017,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n
4051,BALMES - DIPUTACIÓ (baixada),2.16449737832213,41.3879047272823,135.6,105.3,21.9,0_250m,0_250m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n
2009,MALLORCA - CALÀBRIA  (sentit Llobregat),2.14904637422425,41.3836515144813,140.0,214.2,16.7,0_250m,0_250m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n
3010,ENTENÇA - SEPÚLVEDA  (sentit muntanya),2.15377313964144,41.3772231725479,147.0,219.8,20.3,0_250m,0_250m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n
4071,AV. ROMA - VILLARROEL  (sentit Llobregat),2.15551161492165,41.3857379536589,157.6,156.1,19.9,0_250m,0_250m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n
4049,MALLORCA - BRUC,2.16605647059014,41.3964310585901,159.6,142.6,17.2,0_250m,0_250m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n
2006,ARAGÓ - ENTENÇA (sentit Llobregat),2.14793621,41.381069189,161.1,160.4,2.8,0_250m,0_250m,"2017,2018,2019,2020,2021,2022,2023",undirected_osm_highway_utm31n
4053,ARAGÓ - RAMBLA DE CATALUNYA (sentit Llobregat),2.16298401194208,41.3907020230178,172.3,226.4,18.3,0_250m,0_250m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n
3012,SEPÚLVEDA - COMTE BORRELL  (sentit Llobregat),2.15830635936938,41.3800228406693,184.4,419.4,23.9,250_500m,0_250m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n
4084,NÀPOLS - DIPUTACIÓ  (sentit mar),2.17693989634649,41.397254200157,187.3,270.2,12.2,250_500m,0_250m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n
4077,ARAGÓ - NÀPOLS (sentit Llobregat),2.17395160686523,41.3989680268534,195.5,271.7,18.0,250_500m,0_250m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n
3003,GRAN VIA - VILAMARÍ  (sentit Besòs),2.15225172788928,41.3773556078136,196.8,197.0,17.5,0_250m,0_250m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n
4090,ARIBAU - ARAGÓ  (sentit muntanya),2.15924172322705,41.3884915607715,223.6,210.1,12.3,0_250m,0_250m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n
4010,PG. SANT JOAN - VALÈNCIA (Baixada),2.17128708260538,41.3980800150532,225.8,215.9,19.7,0_250m,0_250m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n
4028,VALÈNCIA - CASANOVA,2.1569036942764,41.3878538166451,236.3,342.2,23.4,250_500m,0_250m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n
4035,GRAN VIA - PL. UNIVERSITAT  (sentit Besòs),2.16441727131043,41.3865364803669,237.3,343.5,20.6,250_500m,0_250m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n
3033,SEPULVEDA - ENTENÇA  (sentit Llobregat),2.15355004884416,41.3764072022776,239.3,353.6,30.3,250_500m,0_250m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n
4062,GRAN VIA - PAU CLARIS (sentit Besós),2.17015825066685,41.390863780895,245.0,280.4,16.7,250_500m,0_250m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n
4059,PAU CLARIS - VALÈNCIA  (sentit mar),2.16561839478567,41.3938500206669,258.4,229.2,13.9,0_250m,250_500m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n
3031,FLORIDABLANCA - ROCAFORT  (sentit Besòs),2.15697555342451,41.3773211414533,262.9,317.3,10.2,250_500m,250_500m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n
