period,bin,label,n,did_vs_control,se,control_delta_vs_2019
2018,control_gt2km,>2 km (control),177,0.0,124.8,344.3
2018,on_or_immediate,on / immediate (<=40 m),7,436.8,432.9,344.3
2018,0_250m,0-250 m,20,333.4,395.1,344.3
2018,250_500m,250-500 m,36,420.5,256.6,344.3
2018,500_1000m,500 m-1 km,37,125.6,252.4,344.3
2018,1_2km,1-2 km,57,541.7,258.6,344.3
2022_h1,control_gt2km,>2 km (control),182,0.0,198.9,-904.2
2022_h1,on_or_immediate,on / immediate (<=40 m),8,-1290.4,1619.9,-904.2
2022_h1,0_250m,0-250 m,21,-4596.2,2062.1,-904.2
2022_h1,250_500m,250-500 m,37,-1244.3,678.1,-904.2
2022_h1,500_1000m,500 m-1 km,43,-1468.7,569.9,-904.2
2022_h1,1_2km,1-2 km,65,-1076.9,512.1,-904.2
2024,control_gt2km,>2 km (control),176,0.0,229.4,-1539.6
2024,on_or_immediate,on / immediate (<=40 m),8,-792.5,2103.4,-1539.6
2024,0_250m,0-250 m,22,-5306.8,2149.7,-1539.6
2024,250_500m,250-500 m,35,-1290.7,798.3,-1539.6
2024,500_1000m,500 m-1 km,44,-871.9,824.2,-1539.6
2024,1_2km,1-2 km,62,-1307.7,780.2,-1539.6
2025,control_gt2km,>2 km (control),180,0.0,243.2,-1336.7
2025,on_or_immediate,on / immediate (<=40 m),8,-1741.4,2025.0,-1336.7
2025,0_250m,0-250 m,22,-6251.3,2423.6,-1336.7
2025,250_500m,250-500 m,37,-1750.5,826.2,-1336.7
2025,500_1000m,500 m-1 km,43,-1101.7,920.1,-1336.7
2025,1_2km,1-2 km,66,-1395.4,803.2,-1336.7
