station_id,desc,lon,lat,euclid_m,network_m,snap_m,network_bin,euclid_bin,years_with_counts,distance_metric,did_bin,street_group,is_gran_via,is_tac2020_other,q_pre,n_pre,q_post,n_post,delta_q,delta_log_q
4002,MUNTANER - CONSELL DE CENT  (sentit mar),2.15999405057183,41.3861943064478,0.0,0.0,1.3,on_or_immediate,on_or_immediate,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n,on_or_immediate,other,False,False,16866.521739130436,23,18295.36842105263,19,1428.846681922194,0.08131724102177706
4061,PAU CLARIS - CONSELL DE CENT  (sentit mar),2.16782623743917,41.392200590956,0.0,0.0,17.0,on_or_immediate,on_or_immediate,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n,on_or_immediate,tac2020_other,False,True,29428.652173913044,23,14022.375,24,-15406.277173913044,-0.7413144953885897
4072,CASANOVA - CONSELL DE CENT  (sentit muntanya),2.1580927938814,41.3859229631157,0.0,0.0,17.5,on_or_immediate,on_or_immediate,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n,on_or_immediate,other,False,False,6258.909090909091,22,4936.583333333333,24,-1322.325757575758,-0.23733244431491052
4033,ARIBAU - DIPUTACIÓ  (sentit muntanya),2.1611155956212,41.3870630464236,0.7,0.0,1.5,on_or_immediate,on_or_immediate,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n,on_or_immediate,other,False,False,24176.25,16,18140.708333333332,24,-6035.541666666668,-0.2872122542421067
4068,GRAN VIA - GIRONA,2.17356197276934,41.39342660503,19.8,17.4,16.7,on_or_immediate,on_or_immediate,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n,on_or_immediate,tac2020_other,True,True,45670.13333333333,15,47729.041666666664,24,2058.908333333333,0.04409550591091005
4095,VILLARROEL - ARAGÓ  (sentit mar),2.1569179201233,41.3850904392878,20.7,0.0,18.5,on_or_immediate,on_or_immediate,"2017,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n,on_or_immediate,other,False,False,10243.0,8,10802.333333333334,24,559.3333333333339,0.05316761472318454
4047,VALÈNCIA - GIRONA,2.16905147086661,41.397001041925,32.5,53.0,17.7,0_250m,on_or_immediate,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n,0_250m,tac2020_other,False,True,33843.25,16,19260.416666666668,24,-14582.833333333332,-0.5636875303962956
3004,GRAN VIA - ROCAFORT  (sentit Besòs),2.15453692917648,41.3790627934243,36.3,14.3,40.4,on_or_immediate,on_or_immediate,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n,on_or_immediate,tac2020_other,True,True,46751.708333333336,24,41094.318181818184,22,-5657.390151515152,-0.12898092876228162
4026,PG. SANT JOAN - DIPUTACIÓ (Pujada),2.17373623397117,41.396386975798,42.6,34.6,6.0,on_or_immediate,0_250m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n,on_or_immediate,other,False,False,8186.833333333333,24,8963.478260869566,23,776.6449275362329,0.09063117770516627
4058,PASSEIG DE GRÀCIA - DIPUTACIÓ (Pujada),2.1667568616092,41.3907453585242,49.4,244.4,17.8,0_250m,0_250m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n,0_250m,other,False,False,8965.260869565218,23,9381.0,21,415.73913043478206,0.04532916184133917
4031,ROGER DE LLÚRIA - DIPUTACIÓ (sentit muntanya),2.16932663816795,41.3927596717768,59.7,45.7,12.8,0_250m,0_250m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n,0_250m,tac2020_other,False,True,19954.0,16,20349.5,24,395.5,0.01962671707086905
3006,GRAN VIA - VILADOMAT  (sentit Besòs),2.15681723918066,41.3807773965116,78.2,124.0,42.6,0_250m,0_250m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n,0_250m,tac2020_other,True,True,48647.95,20,43730.125,24,-4917.824999999997,-0.10657244615547867
4079,ARAGÓ - BAILÈN (sentit Llobregat),2.17055853655275,41.3964247174287,85.7,108.6,16.4,0_250m,0_250m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n,0_250m,tac2020_other,False,True,84466.72727272728,22,58505.04347826087,23,-25961.683794466408,-0.36724473290794
4052,DIPUTACIÓ - BALMES,2.16371476116981,41.3878586296077,92.5,148.8,16.1,0_250m,0_250m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n,0_250m,other,False,False,14380.888888888889,18,10661.0,24,-3719.8888888888887,-0.29930794166232566
4021,COMTE URGELL- DIPUTACIÓ  (sentit muntanya),2.15691662946976,41.3833604302786,97.3,116.4,17.1,0_250m,0_250m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n,0_250m,other,False,False,17654.478260869564,23,12484.7,20,-5169.778260869563,-0.34648558241621785
2008,AV. ROMA - CALÀBRIA  (sentit Llobregat),2.1497682341535,41.3832232168521,99.3,170.9,21.1,0_250m,0_250m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n,0_250m,other,False,False,1560.5238095238096,21,1369.909090909091,22,-190.61471861471864,-0.13027715959965214
4064,DIPUTACIÓ - BRUC,2.17019539209557,41.3927688423449,115.9,138.6,20.2,0_250m,0_250m,"2017,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n,0_250m,other,False,False,10821.666666666666,6,9956.208333333334,24,-865.4583333333321,-0.08335398760081247
4098,PG. GRÀCIA - ARAGÓ (Baixada),2.16520071322411,41.3917338254457,120.3,232.7,5.4,0_250m,0_250m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n,0_250m,other,False,False,3087.5,24,5060.4,15,1972.8999999999996,0.494083829604282
4029,ARAGÓ - MUNTANER (sentit Llobregat),2.15817038508185,41.3870958130359,126.7,208.6,10.8,0_250m,0_250m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n,0_250m,tac2020_other,False,True,91043.83333333333,24,54929.708333333336,24,-36114.12499999999,-0.5052867379733481
4080,BAILÈN - DIPUTACIÓ  (sentit mar),2.17390413431999,41.394451912494,127.2,144.0,20.4,0_250m,0_250m,"2017,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n,0_250m,other,False,False,6040.0,7,5323.521739130435,23,-716.478260869565,-0.1262689465664142
4051,BALMES - DIPUTACIÓ (baixada),2.16449737832213,41.3879047272823,135.6,105.3,21.9,0_250m,0_250m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n,0_250m,other,False,False,29851.125,24,24509.583333333332,24,-5341.541666666668,-0.19715833003910888
2009,MALLORCA - CALÀBRIA  (sentit Llobregat),2.14904637422425,41.3836515144813,140.0,214.2,16.7,0_250m,0_250m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n,0_250m,other,False,False,15393.5,12,10877.304347826086,23,-4516.195652173914,-0.34726689381619913
3010,ENTENÇA - SEPÚLVEDA  (sentit muntanya),2.15377313964144,41.3772231725479,147.0,219.8,20.3,0_250m,0_250m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n,0_250m,other,False,False,20440.583333333332,24,17789.409090909092,22,-2651.17424242424,-0.1389190184154785
4071,AV. ROMA - VILLARROEL  (sentit Llobregat),2.15551161492165,41.3857379536589,157.6,156.1,19.9,0_250m,0_250m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n,0_250m,other,False,False,32412.0,24,20247.5,16,-12164.5,-0.47049739545747116
4049,MALLORCA - BRUC,2.16605647059014,41.3964310585901,159.6,142.6,17.2,0_250m,0_250m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n,0_250m,other,False,False,17568.266666666666,15,16060.0,22,-1508.2666666666664,-0.08976253580684279
4053,ARAGÓ - RAMBLA DE CATALUNYA (sentit Llobregat),2.16298401194208,41.3907020230178,172.3,226.4,18.3,0_250m,0_250m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n,0_250m,tac2020_other,False,True,86578.1,20,51552.22727272727,22,-35025.872727272734,-0.5184514811549956
3012,SEPÚLVEDA - COMTE BORRELL  (sentit Llobregat),2.15830635936938,41.3800228406693,184.4,419.4,23.9,250_500m,0_250m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n,250_500m,other,False,False,20394.695652173912,23,20893.958333333332,24,499.26268115942,0.02418519223083848
4084,NÀPOLS - DIPUTACIÓ  (sentit mar),2.17693989634649,41.397254200157,187.3,270.2,12.2,250_500m,0_250m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n,250_500m,other,False,False,6713.478260869565,23,4680.04347826087,23,-2033.434782608695,-0.36080978629053995
4077,ARAGÓ - NÀPOLS (sentit Llobregat),2.17395160686523,41.3989680268534,195.5,271.7,18.0,250_500m,0_250m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n,250_500m,tac2020_other,False,True,52008.454545454544,22,47775.791666666664,24,-4232.66287878788,-0.0848872320582128
3003,GRAN VIA - VILAMARÍ  (sentit Besòs),2.15225172788928,41.3773556078136,196.8,197.0,17.5,0_250m,0_250m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n,0_250m,tac2020_other,True,True,43795.458333333336,24,44961.05263157895,19,1165.5942982456108,0.026266496949123308
4090,ARIBAU - ARAGÓ  (sentit muntanya),2.15924172322705,41.3884915607715,223.6,210.1,12.3,0_250m,0_250m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n,0_250m,other,False,False,22028.0625,16,19242.291666666668,24,-2785.770833333332,-0.13520666105549672
4010,PG. SANT JOAN - VALÈNCIA (Baixada),2.17128708260538,41.3980800150532,225.8,215.9,19.7,0_250m,0_250m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n,0_250m,other,False,False,7880.083333333333,24,5924.041666666667,24,-1956.041666666666,-0.28531954919326097
4028,VALÈNCIA - CASANOVA,2.1569036942764,41.3878538166451,236.3,342.2,23.4,250_500m,0_250m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n,250_500m,tac2020_other,False,True,23676.68181818182,22,16477.81818181818,22,-7198.86363636364,-0.3624755504390915
4035,GRAN VIA - PL. UNIVERSITAT  (sentit Besòs),2.16441727131043,41.3865364803669,237.3,343.5,20.6,250_500m,0_250m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n,250_500m,tac2020_other,True,True,57880.04347826087,23,48858.181818181816,22,-9021.861660079056,-0.16945079987674028
3033,SEPULVEDA - ENTENÇA  (sentit Llobregat),2.15355004884416,41.3764072022776,239.3,353.6,30.3,250_500m,0_250m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n,250_500m,other,False,False,12869.454545454546,22,13612.826086956522,23,743.371541501976,0.05615580408749388
4062,GRAN VIA - PAU CLARIS (sentit Besós),2.17015825066685,41.390863780895,245.0,280.4,16.7,250_500m,0_250m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n,250_500m,tac2020_other,True,True,57228.0,16,53395.291666666664,24,-3832.7083333333358,-0.06932071806143902
4059,PAU CLARIS - VALÈNCIA  (sentit mar),2.16561839478567,41.3938500206669,258.4,229.2,13.9,0_250m,250_500m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n,0_250m,tac2020_other,False,True,26676.608695652172,23,16701.041666666668,24,-9975.567028985504,-0.46831600988339694
3031,FLORIDABLANCA - ROCAFORT  (sentit Besòs),2.15697555342451,41.3773211414533,262.9,317.3,10.2,250_500m,250_500m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n,250_500m,other,False,False,8950.75,24,7740.95652173913,23,-1209.79347826087,-0.14521206607241588
4065,ROGER DE LLÚRIA - CASP  (sentit muntanya),2.17191220851891,41.3908288785469,265.0,351.9,17.9,250_500m,250_500m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n,250_500m,tac2020_other,False,True,26253.375,24,10981.708333333334,24,-15271.666666666666,-0.8715635423086727
4046,ROGER DE LLÚRIA - MALLORCA,2.16449119773735,41.3964376684823,265.6,354.9,13.2,250_500m,250_500m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n,250_500m,tac2020_other,False,True,11154.304347826086,23,15938.958333333334,24,4784.653985507248,0.3569408584248812
2014,TARRAGONA - CONSELL DE CENT (calçada Besòs),2.14733648474262,41.3770104507661,267.7,547.0,13.1,500_1000m,250_500m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n,500_1000m,other,False,False,25741.545454545456,22,23427.869565217392,23,-2313.675889328064,-0.09417992059676195
3018,COMTE URGELL- FLORIDABLANCA,2.16047984134544,41.3807267821097,284.4,398.8,12.5,250_500m,250_500m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n,250_500m,other,False,False,15194.208333333334,24,10563.0,24,-4631.208333333334,-0.36355699569880784
3013,VILLARROEL - GRAN VIA  (sentit mar),2.16051119824691,41.3823690318997,290.5,418.6,25.4,250_500m,250_500m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n,250_500m,other,False,False,11985.727272727272,22,9282.95652173913,23,-2702.770750988142,-0.25553646119475637
4082,GRAN VIA - NÀPOLS (sentit Besós),2.17815149968645,41.3968351807915,293.1,426.7,21.3,250_500m,250_500m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n,250_500m,tac2020_other,True,True,44619.708333333336,24,45577.545454545456,22,957.8371212121201,0.021239518694374127
4063,VALÈNCIA - PAU CLARIS,2.1656298097779,41.394411551482,296.4,315.3,16.7,250_500m,250_500m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n,250_500m,tac2020_other,False,True,32275.85714285714,21,26552.875,24,-5722.982142857141,-0.19518146578818474
4009,PG. SANT JOAN - CASP (Baixada),2.17714968432596,41.3936149393821,296.5,391.6,27.5,250_500m,250_500m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n,250_500m,other,False,False,9070.541666666666,24,10145.791666666666,24,1075.25,0.11202702235532769
4034,PL. UNIVERSITAT - PELAI (Llobregat),2.16425324979824,41.3856458791412,296.8,381.6,10.5,250_500m,250_500m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n,250_500m,other,False,False,22553.176470588234,17,21426.08695652174,23,-1127.0895140664943,-0.05126672317892478
4042,ROSSELLÓ - AV. DIAGONAL (sentit Besòs),2.16370570249842,41.3980821322155,305.1,379.9,2.6,250_500m,250_500m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n,250_500m,other,False,False,16853.52380952381,21,16556.5,6,-297.0238095238092,-0.017780989133786562
4073,VALÈNCIA - RAMBLA DE CATALUNYA,2.16273962226169,41.3922436021376,306.8,337.5,0.8,250_500m,250_500m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n,250_500m,tac2020_other,False,True,31602.65,20,26879.708333333332,24,-4722.941666666669,-0.16186931293460738
4023,GRAN VIA - VILLARROEL (sentit Besòs),2.16016961309645,41.3833263269611,314.2,356.0,4.3,250_500m,250_500m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n,250_500m,tac2020_other,True,True,50238.95652173913,23,44731.65217391304,23,-5507.304347826088,-0.11610939871636994
4022,PG. SANT JOAN - PROVENÇA (Pujada),2.16832144526965,41.4004685521516,315.7,467.0,20.7,250_500m,250_500m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n,250_500m,other,False,False,5970.608695652174,23,4151.444444444444,18,-1819.1642512077296,-0.3633925486913192
4060,PG. SANT JOAN - AUSIÀS MARC (Pujada),2.17765894487054,41.3933623241091,332.8,472.5,19.4,250_500m,250_500m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n,250_500m,other,False,False,3389.5833333333335,24,4064.7916666666665,24,675.208333333333,0.18165548785681374
4097,PG. GRÀCIA - CASP (Pujada),2.16915384037869,41.3887585646416,347.0,486.0,2.4,250_500m,250_500m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n,250_500m,other,False,False,6725.416666666667,24,7324.761904761905,21,599.3452380952376,0.08536676846824243
4027,MUNTANER - MALLORCA  (sentit mar),2.15649696883514,41.38881165047,347.4,424.6,11.3,250_500m,250_500m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n,250_500m,other,False,False,25501.0,23,14804.869565217392,23,-10696.130434782608,-0.5437615157515694
2005,ENTENÇA - PROVENÇA  (sentit muntanya),2.14534608547098,41.3836075007717,348.5,428.5,2.4,250_500m,250_500m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n,250_500m,other,False,False,13669.708333333334,24,13690.833333333334,18,21.125,0.0015441948814576278
2003,TARRAGONA - VALÈNCIA  (sentit mar),2.14530786309372,41.378572477309,351.6,468.3,15.3,250_500m,250_500m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n,250_500m,other,False,False,11093.0,21,8512.095238095239,21,-2580.9047619047615,-0.2648261575338253
4008,MALLORCA - CASANOVA  (sentit Llobregat),2.15472723259061,41.3879004980236,356.9,394.7,19.7,250_500m,250_500m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n,250_500m,other,False,False,24607.458333333332,24,13383.111111111111,9,-11224.34722222222,-0.6090560340824531
3015,CASANOVA - SEPÚLVEDA  (sentit muntanya),2.16165673159081,41.3832214330662,358.1,412.8,7.5,250_500m,250_500m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n,250_500m,other,False,False,6231.95652173913,23,5407.733333333334,15,-824.2231884057965,-0.1418603040695139
3014,SEPÚLVEDA - CASANOVA  (sentit Llobregat),2.16147246025133,41.3824189800132,368.8,492.0,12.1,250_500m,250_500m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n,250_500m,other,False,False,19370.954545454544,22,19828.636363636364,22,457.68181818181984,0.023352418051002743
5013,RONDA SANT PERE - GIRONA  (sentit Llobregat),2.17644635091381,41.3902823026524,372.5,415.1,11.2,250_500m,250_500m,"2017,2018,2019,2020,2021,2022,2025",undirected_osm_highway_utm31n,250_500m,other,False,False,16892.541666666668,24,13955.181818181818,11,-2937.35984848485,-0.19102130722404276
4044,PAU CLARIS - PROVENÇA  (sentit mar),2.16347178849809,41.3954885003117,392.8,467.9,7.1,250_500m,250_500m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n,250_500m,tac2020_other,False,True,23349.409090909092,22,16477.25,24,-6872.159090909092,-0.3485910355703883
