station_id,desc,lon,lat,euclid_m,network_m,snap_m,network_bin,euclid_bin,years_with_counts,distance_metric,did_bin,street_group,is_gran_via,is_tac2020_other,q_pre,n_pre,q_post,n_post,delta_q,delta_log_q
4002,MUNTANER - CONSELL DE CENT  (sentit mar),2.15999405057183,41.3861943064478,0.0,0.0,1.3,on_or_immediate,on_or_immediate,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n,on_or_immediate,other,False,False,20103.285714285714,7,18295.36842105263,19,-1807.917293233084,-0.09423533400945772
4061,PAU CLARIS - CONSELL DE CENT  (sentit mar),2.16782623743917,41.392200590956,0.0,0.0,17.0,on_or_immediate,on_or_immediate,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n,on_or_immediate,tac2020_other,False,True,16768.14285714286,7,14022.375,24,-2745.7678571428587,-0.17882655961590643
4072,CASANOVA - CONSELL DE CENT  (sentit muntanya),2.1580927938814,41.3859229631157,0.0,0.0,17.5,on_or_immediate,on_or_immediate,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n,on_or_immediate,other,False,False,5041.571428571428,7,4936.583333333333,24,-104.98809523809541,-0.02104436588670211
4033,ARIBAU - DIPUTACIÓ  (sentit muntanya),2.1611155956212,41.3870630464236,0.7,0.0,1.5,on_or_immediate,on_or_immediate,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n,on_or_immediate,other,False,False,20696.285714285714,7,18140.708333333332,24,-2555.5773809523816,-0.13179575800992716
4068,GRAN VIA - GIRONA,2.17356197276934,41.39342660503,19.8,17.4,16.7,on_or_immediate,on_or_immediate,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n,on_or_immediate,tac2020_other,True,True,44997.0,7,47729.041666666664,24,2732.0416666666642,0.058944231717150686
4095,VILLARROEL - ARAGÓ  (sentit mar),2.1569179201233,41.3850904392878,20.7,0.0,18.5,on_or_immediate,on_or_immediate,"2017,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n,on_or_immediate,other,False,False,10142.285714285714,7,10802.333333333334,24,660.0476190476202,0.06304877180679647
4047,VALÈNCIA - GIRONA,2.16905147086661,41.397001041925,32.5,53.0,17.7,0_250m,on_or_immediate,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n,0_250m,tac2020_other,False,True,21367.14285714286,7,19260.416666666668,24,-2106.726190476191,-0.10380232169663195
3004,GRAN VIA - ROCAFORT  (sentit Besòs),2.15453692917648,41.3790627934243,36.3,14.3,40.4,on_or_immediate,on_or_immediate,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n,on_or_immediate,tac2020_other,True,True,43444.142857142855,7,41094.318181818184,22,-2349.8246753246713,-0.055606172523594566
4026,PG. SANT JOAN - DIPUTACIÓ (Pujada),2.17373623397117,41.396386975798,42.6,34.6,6.0,on_or_immediate,0_250m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n,on_or_immediate,other,False,False,6533.428571428572,7,8963.478260869566,23,2430.0496894409944,0.31622649569336936
4058,PASSEIG DE GRÀCIA - DIPUTACIÓ (Pujada),2.1667568616092,41.3907453585242,49.4,244.4,17.8,0_250m,0_250m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n,0_250m,other,False,False,7626.4,5,9381.0,21,1754.6000000000004,0.2070704549465816
3006,GRAN VIA - VILADOMAT  (sentit Besòs),2.15681723918066,41.3807773965116,78.2,124.0,42.6,0_250m,0_250m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n,0_250m,tac2020_other,True,True,45864.857142857145,7,43730.125,24,-2134.732142857145,-0.04766196035532744
4079,ARAGÓ - BAILÈN (sentit Llobregat),2.17055853655275,41.3964247174287,85.7,108.6,16.4,0_250m,0_250m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n,0_250m,tac2020_other,False,True,62632.71428571428,7,58505.04347826087,23,-4127.670807453411,-0.06817477020047669
4052,DIPUTACIÓ - BALMES,2.16371476116981,41.3878586296077,92.5,148.8,16.1,0_250m,0_250m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n,0_250m,other,False,False,11535.285714285714,7,10661.0,24,-874.2857142857138,-0.07881843768618779
4021,COMTE URGELL- DIPUTACIÓ  (sentit muntanya),2.15691662946976,41.3833604302786,97.3,116.4,17.1,0_250m,0_250m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n,0_250m,other,False,False,16839.571428571428,7,12484.7,20,-4354.871428571427,-0.29922766427212366
2008,AV. ROMA - CALÀBRIA  (sentit Llobregat),2.1497682341535,41.3832232168521,99.3,170.9,21.1,0_250m,0_250m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n,0_250m,other,False,False,1167.857142857143,7,1369.909090909091,22,202.0519480519481,0.15957381290964268
4064,DIPUTACIÓ - BRUC,2.17019539209557,41.3927688423449,115.9,138.6,20.2,0_250m,0_250m,"2017,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n,0_250m,other,False,False,10025.714285714286,7,9956.208333333334,24,-69.5059523809523,-0.0069569114082277395
4098,PG. GRÀCIA - ARAGÓ (Baixada),2.16520071322411,41.3917338254457,120.3,232.7,5.4,0_250m,0_250m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n,0_250m,other,False,False,3596.0,7,5060.4,15,1464.3999999999996,0.3416234149490034
4029,ARAGÓ - MUNTANER (sentit Llobregat),2.15817038508185,41.3870958130359,126.7,208.6,10.8,0_250m,0_250m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n,0_250m,tac2020_other,False,True,60629.0,7,54929.708333333336,24,-5699.291666666664,-0.09871898891033126
4080,BAILÈN - DIPUTACIÓ  (sentit mar),2.17390413431999,41.394451912494,127.2,144.0,20.4,0_250m,0_250m,"2017,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n,0_250m,other,False,False,5421.857142857143,7,5323.521739130435,23,-98.33540372670814,-0.018303337665019015
4051,BALMES - DIPUTACIÓ (baixada),2.16449737832213,41.3879047272823,135.6,105.3,21.9,0_250m,0_250m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n,0_250m,other,False,False,26120.428571428572,7,24509.583333333332,24,-1610.8452380952403,-0.06365351453033341
2009,MALLORCA - CALÀBRIA  (sentit Llobregat),2.14904637422425,41.3836515144813,140.0,214.2,16.7,0_250m,0_250m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n,0_250m,other,False,False,14410.666666666666,6,10877.304347826086,23,-3533.36231884058,-0.2812902245283304
3010,ENTENÇA - SEPÚLVEDA  (sentit muntanya),2.15377313964144,41.3772231725479,147.0,219.8,20.3,0_250m,0_250m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n,0_250m,other,False,False,18759.0,6,17789.409090909092,22,-969.5909090909081,-0.05307035192768339
4071,AV. ROMA - VILLARROEL  (sentit Llobregat),2.15551161492165,41.3857379536589,157.6,156.1,19.9,0_250m,0_250m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n,0_250m,other,False,False,29252.571428571428,7,20247.5,16,-9005.071428571428,-0.3679361527607288
4049,MALLORCA - BRUC,2.16605647059014,41.3964310585901,159.6,142.6,17.2,0_250m,0_250m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n,0_250m,other,False,False,24009.0,5,16060.0,22,-7949.0,-0.40209705153440467
4053,ARAGÓ - RAMBLA DE CATALUNYA (sentit Llobregat),2.16298401194208,41.3907020230178,172.3,226.4,18.3,0_250m,0_250m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n,0_250m,tac2020_other,False,True,56372.857142857145,7,51552.22727272727,22,-4820.629870129873,-0.08939237073459871
3012,SEPÚLVEDA - COMTE BORRELL  (sentit Llobregat),2.15830635936938,41.3800228406693,184.4,419.4,23.9,250_500m,0_250m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n,250_500m,other,False,False,18193.85714285714,7,20893.958333333332,24,2700.101190476191,0.13837602473346955
4084,NÀPOLS - DIPUTACIÓ  (sentit mar),2.17693989634649,41.397254200157,187.3,270.2,12.2,250_500m,0_250m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n,250_500m,other,False,False,4139.714285714285,7,4680.04347826087,23,540.3291925465846,0.12268062776986532
4077,ARAGÓ - NÀPOLS (sentit Llobregat),2.17395160686523,41.3989680268534,195.5,271.7,18.0,250_500m,0_250m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n,250_500m,tac2020_other,False,True,43033.71428571428,7,47775.791666666664,24,4742.077380952382,0.10453519907929909
3003,GRAN VIA - VILAMARÍ  (sentit Besòs),2.15225172788928,41.3773556078136,196.8,197.0,17.5,0_250m,0_250m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n,0_250m,tac2020_other,True,True,41579.71428571428,7,44961.05263157895,19,3381.338345864664,0.0781842069646359
4090,ARIBAU - ARAGÓ  (sentit muntanya),2.15924172322705,41.3884915607715,223.6,210.1,12.3,0_250m,0_250m,"2017,2018,2019,2020,2021,2022,2023,2024,2025",undirected_osm_highway_utm31n,0_250m,other,False,False,18540.85714285714,7,19242.291666666668,24,701.4345238095266,0.037133756484591274
