did_bin,year,n,q_mean,q_median
0_250m,2018,20,31702.443446969693,22138.058333333334
0_250m,2019,22,28970.72113341204,20672.079545454544
0_250m,2022,21,23810.368820861677,18540.85714285714
0_250m,2024,22,22124.330578512396,17064.395454545454
0_250m,2025,22,21382.669421487604,15958.625
1_2km,2018,57,15469.222879167615,13691.666666666666
1_2km,2019,66,15617.840514998468,12690.5
1_2km,2022,65,13323.672673992673,12212.42857142857
1_2km,2024,62,13096.52005364707,11393.041666666668
1_2km,2025,66,12885.739850889851,10624.708333333332
250_500m,2018,36,22522.828787878785,18741.375
250_500m,2019,37,21321.914530439528,16351.2
250_500m,2022,37,19173.473487773488,15898.0
250_500m,2024,35,19092.30637085137,15802.25
250_500m,2025,37,18234.719822744824,14764.0
500_1000m,2018,37,16574.147416247415,15139.666666666666
500_1000m,2019,44,17526.69957201889,14719.944444444445
500_1000m,2022,43,15230.169435215947,13082.714285714286
500_1000m,2024,44,15115.19638429752,13455.049242424242
500_1000m,2025,43,14916.138160676534,13570.3
control_gt2km,2018,185,13056.29161772162,10740.5
control_gt2km,2019,184,12206.841434531652,9694.152777777777
control_gt2km,2022,188,11540.915020263425,9653.142857142857
control_gt2km,2024,184,10602.315163866931,8646.458333333334
control_gt2km,2025,188,10889.06970560468,8738.833333333332
on_or_immediate,2018,7,25786.80624613482,25112.75
on_or_immediate,2019,8,23160.354640151516,20176.166666666664
on_or_immediate,2022,8,20965.767857142855,18435.714285714286
on_or_immediate,2024,8,20828.202651515152,16331.75
on_or_immediate,2025,8,20082.267518939392,14735.9375
