study_id,authors_year,location,intervention,local_traffic,boundary_or_network,vkt,behaviour,accessibility_other,main_limitation,vkt_status,in_this_article,doi_or_id
CAIRNS-2002,"Cairns, Atkins and Goodwin (2002)",11 countries,road-space reallocation (mixed historical cases),down generally,mixed,limited,yes,limited,heterogeneous historical cases,limited,yes,ICE Municipal Engineer 151(1)
CAIRNS-1998,"Cairns, Hass-Klau and Goodwin (1998)",international,highway capacity reductions,down generally,mixed,inferred from counts not assigned,yes,limited,volume not VKT,limited,yes,Landor 1998
CHUNG-2012,"Chung, Hwang and Bae (2012)",Seoul,Cheonggyecheon expressway removal then street cut,down then mixed,adaptation on alternatives,limited,yes (mode; time; route),PT shift,one-off mega-project,limited,yes,10.1016/j.tranpol.2012.01.009
NELLO-2022,Nello-Deakin (2022),Barcelona,11 COVID tactical streets,minus 14.8% vs control,little average adjacent displacement,not measured,limited,not measured,count-based Euclidean buffers COVID window,none,cite_as_given,10.1016/j.cstp.2022.11.003
THOMAS-2024,Thomas and Aldred (2024),London,46 LTNs,large interior drop,little average boundary volume rise,not calculated,yes,safety / active travel,routine monitoring; aggregation sensitive,limited,yes,10.1016/j.cstp.2023.101124
GOODMAN-2023,"Goodman, Laverty, Furlong and Aldred (2023)",London (Lambeth),2020 LTNs,resident driving down,near-LTN km not up vs control,odometer km (resident VKT proxy),yes,resident-focused,not network assignment,some_evidence,yes,10.32866/001c.75470
TENNOY-2021,Tennoy and Hagen (2021),Oslo,Bryn tunnel capacity cut (4 to 2 lanes),down in tunnel,congestion up on remaining links,limited,yes (route; time; mode),commuter consequences,single major link; temporary works,limited,yes,10.1016/j.trd.2021.102848
PARADY-2025,"Parady, Chikaraishi and Oyama (2025)",Tokyo,temporary pedestrianisation,small local / mixed,500/750/1000 m Euclidean buffers; no severe surrounding increase,not measured,limited,—,temporary schemes; Euclidean buffers,none,yes,10.1016/j.jtrangeo.2025.104269
KOOREY-2025,"Koorey, Johari, Lieswyn and Gregory (2025)",international,30 permanent RSR cases,mixed,mixed,insufficient for net network VKT,limited,multiple outcomes,network VKT mostly unavailable,insufficient,yes,NZTA RR 724
MATAJS-2026,"Matajs, Baptista, Valenca, Moura and Felix (2026)",Lisbon,static vs dynamic road-space allocation,modelled,modelled,modelled,—,emissions / health,scenario model not causal counts,modelled_only,yes,10.1016/j.jth.2026.102316
VERLINGHIERI-2025,"Verlinghieri, Larrington-Spencer, Furlong, Aldred and Goodman (2025)",London,LTN boundary roads,—,congestion share mixed; volume not the same as delay,not measured,yes,—,boundary time not network VKT,none,yes,10.1016/j.jtrangeo.2025.104360
