station_id,desc,did_bin,q_pre,q_post,delta_q,edge_i,snap_m,is_tac2020_other,q_assigned_pre,q_assigned_fixed,delta_q_simulated_fixed,delta_q_residual
4002,MUNTANER - CONSELL DE CENT  (sentit mar),on_or_immediate,20103.285714285717,18295.36842105263,-1807.917293233084,55366,0.2,False,17738.659843376492,26038.630955233457,8299.971111856965,-10107.888405090049
4061,PAU CLARIS - CONSELL DE CENT  (sentit mar),on_or_immediate,16768.14285714286,14022.375,-2745.7678571428587,43036,1.5,True,11776.192930289028,11776.192930289028,0.0,-2745.7678571428587
4072,CASANOVA - CONSELL DE CENT  (sentit muntanya),on_or_immediate,5041.571428571428,4936.583333333333,-104.9880952380954,37756,0.9,False,5430.950934310942,364.2515419977701,-5066.699392313172,4961.711297075077
4033,ARIBAU - DIPUTACIÓ  (sentit muntanya),on_or_immediate,20696.285714285717,18140.70833333333,-2555.5773809523816,44482,0.5,False,3419.776684205132,0.0,-3419.776684205132,864.1993032527503
4068,GRAN VIA - GIRONA,on_or_immediate,44997.0,47729.04166666666,2732.041666666664,55904,3.1,True,29768.82311158542,34783.241011851445,5014.417900266024,-2282.37623359936
4095,VILLARROEL - ARAGÓ  (sentit mar),on_or_immediate,10142.285714285714,10802.333333333334,660.0476190476202,55279,0.0,False,16788.359487499518,5750.517541046344,-11037.841946453173,11697.889565500793
4047,VALÈNCIA - GIRONA,0_250m,21367.14285714286,19260.416666666668,-2106.726190476191,31164,0.8,True,49052.714710093795,49120.37349350449,67.65878341069765,-2174.3849738868885
3004,GRAN VIA - ROCAFORT  (sentit Besòs),on_or_immediate,43444.142857142855,41094.31818181818,-2349.8246753246717,40562,2.8,True,45367.572119973665,48743.72537021096,3376.153250237294,-5725.977925561965
4026,PG. SANT JOAN - DIPUTACIÓ (Pujada),on_or_immediate,6533.428571428572,8963.478260869566,2430.0496894409944,28461,3.4,False,0.0,0.0,0.0,2430.0496894409944
4058,PASSEIG DE GRÀCIA - DIPUTACIÓ (Pujada),0_250m,7626.4,9381.0,1754.6000000000004,53432,5.9,False,0.0,20958.891525893316,20958.891525893316,-19204.291525893314
3006,GRAN VIA - VILADOMAT  (sentit Besòs),0_250m,45864.857142857145,43730.125,-2134.732142857145,55630,22.2,True,21142.97314614514,0.0,-21142.97314614514,19008.241003287996
4079,ARAGÓ - BAILÈN (sentit Llobregat),0_250m,62632.71428571428,58505.04347826087,-4127.670807453411,59145,1.9,True,47039.41107536218,17679.1504796722,-29360.26059568998,25232.589788236568
4052,DIPUTACIÓ - BALMES,0_250m,11535.285714285714,10661.0,-874.2857142857138,44120,0.4,False,12144.377304574095,0.0,-12144.377304574095,11270.09159028838
4021,COMTE URGELL- DIPUTACIÓ  (sentit muntanya),0_250m,16839.571428571428,12484.7,-4354.871428571427,55293,2.7,False,3777.2562674455803,11.06193635937025,-3766.1943310862102,-588.6770974852166
2008,AV. ROMA - CALÀBRIA  (sentit Llobregat),0_250m,1167.857142857143,1369.909090909091,202.0519480519481,23832,8.6,False,11901.865625045992,11863.263092427242,-38.60253261875005,240.65448067069815
4064,DIPUTACIÓ - BRUC,0_250m,10025.714285714286,9956.208333333334,-69.5059523809523,44083,0.9,False,15833.967922151853,20122.62595899508,4288.658036843226,-4358.163989224178
4098,PG. GRÀCIA - ARAGÓ (Baixada),0_250m,3596.0,5060.4,1464.3999999999996,37541,0.4,False,0.0,0.0,0.0,1464.3999999999996
4029,ARAGÓ - MUNTANER (sentit Llobregat),0_250m,60629.0,54929.708333333336,-5699.291666666664,59202,1.9,True,47829.31613858633,49065.65611833309,1236.3399797467646,-6935.631646413429
4080,BAILÈN - DIPUTACIÓ  (sentit mar),0_250m,5421.857142857143,5323.521739130435,-98.33540372670814,42955,0.8,False,367.3593408394806,367.3593408394806,0.0,-98.33540372670814
4051,BALMES - DIPUTACIÓ (baixada),0_250m,26120.42857142857,24509.58333333333,-1610.8452380952403,58048,0.0,False,17171.559548356003,4390.4633589998575,-12781.096189356145,11170.250951260905
2009,MALLORCA - CALÀBRIA  (sentit Llobregat),0_250m,14410.666666666666,10877.304347826086,-3533.36231884058,53177,1.9,False,22434.257661847572,13574.218576566087,-8860.039085281485,5326.676766440905
3010,ENTENÇA - SEPÚLVEDA  (sentit muntanya),0_250m,18759.0,17789.409090909092,-969.590909090908,30427,1.4,False,15912.799461652437,15912.799461652437,0.0,-969.590909090908
4071,AV. ROMA - VILLARROEL  (sentit Llobregat),0_250m,29252.571428571428,20247.5,-9005.071428571428,37724,1.9,False,0.0,0.0,0.0,-9005.071428571428
4049,MALLORCA - BRUC,0_250m,24009.0,16060.0,-7949.0,31155,2.9,False,18251.343238735444,32414.962092889327,14163.618854153883,-22112.618854153883
4053,ARAGÓ - RAMBLA DE CATALUNYA (sentit Llobregat),0_250m,56372.857142857145,51552.22727272727,-4820.629870129873,59183,4.3,True,27860.978499403016,28537.250505725246,676.2720063222296,-5496.901876452102
3012,SEPÚLVEDA - COMTE BORRELL  (sentit Llobregat),250_500m,18193.85714285714,20893.95833333333,2700.101190476191,33147,2.9,False,17976.841598613304,47419.78585661541,29442.944258002106,-26742.843067525915
4084,NÀPOLS - DIPUTACIÓ  (sentit mar),250_500m,4139.714285714285,4680.04347826087,540.3291925465846,49086,0.3,False,698.0529287320982,698.0529287320982,0.0,540.3291925465846
4077,ARAGÓ - NÀPOLS (sentit Llobregat),250_500m,43033.71428571428,47775.79166666666,4742.077380952382,59129,2.1,True,49813.56770529504,27961.873142620978,-21851.694562674063,26593.771943626445
3003,GRAN VIA - VILAMARÍ  (sentit Besòs),0_250m,41579.71428571428,44961.05263157895,3381.338345864664,29730,0.6,True,51768.48090261664,48743.72537021096,-3024.755532405681,6406.093878270345
4090,ARIBAU - ARAGÓ  (sentit muntanya),0_250m,18540.85714285714,19242.291666666668,701.4345238095266,60223,1.3,False,4069.457073196153,4194.887333230037,125.43026003388422,576.0042637756424
4010,PG. SANT JOAN - VALÈNCIA (Baixada),0_250m,5846.0,5924.041666666667,78.04166666666697,38978,7.5,False,736.3460774020301,1282.4664489507138,546.1203715486837,-468.0787048820167
4028,VALÈNCIA - CASANOVA,250_500m,15489.166666666666,16477.81818181818,988.651515151514,58245,2.2,True,2305.9701664483023,2305.9701664483023,0.0,988.651515151514
4035,GRAN VIA - PL. UNIVERSITAT  (sentit Besòs),250_500m,53780.57142857143,48858.181818181816,-4922.389610389611,47127,12.3,True,3375.5527563130263,14843.658054564892,11468.105298251867,-16390.494908641478
3033,SEPULVEDA - ENTENÇA  (sentit Llobregat),250_500m,12238.857142857143,13612.826086956522,1373.9689440993789,59996,5.6,False,28077.132145442298,28077.132145442298,0.0,1373.9689440993789
4062,GRAN VIA - PAU CLARIS (sentit Besós),250_500m,51764.142857142855,53395.29166666666,1631.1488095238092,44183,1.9,True,58508.19726264595,58508.19726264595,0.0,1631.1488095238092
3031,FLORIDABLANCA - ROCAFORT  (sentit Besòs),250_500m,7802.285714285715,7740.95652173913,-61.32919254658464,31228,0.1,False,30065.833151344767,30065.833151344767,0.0,-61.32919254658464
