station_id,desc,did_bin,q_pre,q_post,delta_q,edge_i,snap_m,is_tac2020_other
4002,MUNTANER - CONSELL DE CENT  (sentit mar),on_or_immediate,20103.285714285717,18295.36842105263,-1807.917293233084,55311,0.2,False
4061,PAU CLARIS - CONSELL DE CENT  (sentit mar),on_or_immediate,16768.14285714286,14022.375,-2745.7678571428587,43045,1.5,True
4072,CASANOVA - CONSELL DE CENT  (sentit muntanya),on_or_immediate,5041.571428571428,4936.583333333333,-104.9880952380954,37775,0.9,False
4033,ARIBAU - DIPUTACIÓ  (sentit muntanya),on_or_immediate,20696.285714285717,18140.70833333333,-2555.5773809523816,44483,1.4,False
4068,GRAN VIA - GIRONA,on_or_immediate,44997.0,47729.04166666666,2732.041666666664,55763,3.1,True
4095,VILLARROEL - ARAGÓ  (sentit mar),on_or_immediate,10142.285714285714,10802.333333333334,660.0476190476202,55246,0.0,False
4047,VALÈNCIA - GIRONA,0_250m,21367.14285714286,19260.416666666668,-2106.726190476191,31188,0.8,True
3004,GRAN VIA - ROCAFORT  (sentit Besòs),on_or_immediate,43444.142857142855,41094.31818181818,-2349.8246753246717,40577,2.8,True
4026,PG. SANT JOAN - DIPUTACIÓ (Pujada),on_or_immediate,6533.428571428572,8963.478260869566,2430.0496894409944,28489,3.4,False
4058,PASSEIG DE GRÀCIA - DIPUTACIÓ (Pujada),0_250m,7626.4,9381.0,1754.6000000000004,53435,5.9,False
3006,GRAN VIA - VILADOMAT  (sentit Besòs),0_250m,45864.857142857145,43730.125,-2134.732142857145,55494,22.2,True
4079,ARAGÓ - BAILÈN (sentit Llobregat),0_250m,62632.71428571428,58505.04347826087,-4127.670807453411,58948,1.9,True
4052,DIPUTACIÓ - BALMES,0_250m,11535.285714285714,10661.0,-874.2857142857138,44126,0.4,False
4021,COMTE URGELL- DIPUTACIÓ  (sentit muntanya),0_250m,16839.571428571428,12484.7,-4354.871428571427,55254,2.7,False
2008,AV. ROMA - CALÀBRIA  (sentit Llobregat),0_250m,1167.857142857143,1369.909090909091,202.0519480519481,23846,8.6,False
4064,DIPUTACIÓ - BRUC,0_250m,10025.714285714286,9956.208333333334,-69.5059523809523,44089,0.9,False
4098,PG. GRÀCIA - ARAGÓ (Baixada),0_250m,3596.0,5060.4,1464.3999999999996,37560,0.4,False
4029,ARAGÓ - MUNTANER (sentit Llobregat),0_250m,60629.0,54929.708333333336,-5699.291666666664,59003,1.9,True
4080,BAILÈN - DIPUTACIÓ  (sentit mar),0_250m,5421.857142857143,5323.521739130435,-98.33540372670814,42968,0.8,False
4051,BALMES - DIPUTACIÓ (baixada),0_250m,26120.42857142857,24509.58333333333,-1610.8452380952403,57851,0.0,False
2009,MALLORCA - CALÀBRIA  (sentit Llobregat),0_250m,14410.666666666666,10877.304347826086,-3533.36231884058,53188,1.9,False
3010,ENTENÇA - SEPÚLVEDA  (sentit muntanya),0_250m,18759.0,17789.409090909092,-969.590909090908,30451,1.4,False
