codi,name,district,x,y,node,snap_m,pop
1,el Raval,Ciutat Vella,430633.4026767879,4581162.896179199,"(430640.3, 4581129.0)",34.590808487186386,46520
2,el Barri Gòtic,Ciutat Vella,431210.63610780606,4581411.979661736,"(431217.1, 4581396.2)",17.052261632464717,22748
3,la Barceloneta,Ciutat Vella,432280.1893873443,4581001.220031047,"(432280.4, 4580980.6)",20.621106616650227,14342
4,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,431728.0119218314,4582018.045184726,"(431767.4, 4582030.0)",41.16234092049449,22418
5,el Fort Pienc,Eixample,431577.6235457141,4583197.604670282,"(431568.1, 4583192.4)",10.852949631949668,33445
6,la Sagrada Família,Eixample,431171.17257649865,4584094.898559328,"(431161.7, 4584147.2)",53.15233204565057,51402
7,la Dreta de l'Eixample,Eixample,430462.49450845545,4582818.114391059,"(430439.5, 4582811.7)",23.872407330620323,44156
8,l'Antiga Esquerra de l'Eixample,Eixample,429368.1703611436,4582324.065460113,"(429377.7, 4582370.0)",46.912641914258046,42365
9,la Nova Esquerra de l'Eixample,Eixample,428842.68454552477,4581630.678186326,"(428833.0, 4581609.7)",23.105729236575176,57314
10,Sant Antoni,Eixample,429705.63266830286,4581118.105351957,"(429668.8, 4581113.4)",37.13200494642031,38175
11,el Poble-sec,Sants-Montjuïc,429596.30661636963,4579661.779683266,"(429538.1, 4579650.0)",59.38662414254535,39143
13,la Marina de Port,Sants-Montjuïc,428052.85614563996,4579079.7974648755,"(428029.6, 4579028.5)",56.322981212661446,30428
14,la Font de la Guatlla,Sants-Montjuïc,428489.2632948237,4580159.826657067,"(428487.3, 4580160.3)",2.0195494786733126,10359
15,Hostafrancs,Sants-Montjuïc,428439.98820998677,4580774.102753775,"(428442.5, 4580765.9)",8.578709609313258,15859
16,la Bordeta,Sants-Montjuïc,427779.08511847677,4580087.903483816,"(427766.1, 4580171.0)",84.10496004222246,19227
17,Sants - Badal,Sants-Montjuïc,427056.71533622156,4580714.980853043,"(427093.3, 4580679.8)",50.75559126437435,24208
18,Sants,Sants-Montjuïc,427781.2517989302,4581020.39824059,"(427758.6, 4581035.0)",26.950238823758447,43029
19,les Corts,Les Corts,427652.76867428026,4582071.984351708,"(427677.9, 4582054.1)",30.845316799281143,45660
20,la Maternitat i Sant Ramon,Les Corts,426200.83112972457,4581450.363101403,"(426176.3, 4581416.2)",42.05821944684173,23684
21,Pedralbes,Les Corts,425609.3541273236,4582548.781462013,"(425581.7, 4582492.7)",62.52904236833153,11730
23,Sarrià,Sarrià-Sant Gervasi,426122.8316419328,4583832.271150992,"(426106.1, 4583756.9)",77.20594694457189,24632
24,les Tres Torres,Sarrià-Sant Gervasi,427260.16273780057,4583306.939591496,"(427265.0, 4583309.4)",5.427035617464925,16108
25,Sant Gervasi - la Bonanova,Sarrià-Sant Gervasi,427301.6350883721,4584615.521438844,"(427291.8, 4584598.7)",19.485629783227825,25692
26,Sant Gervasi - Galvany,Sarrià-Sant Gervasi,428360.2179351412,4583233.794227358,"(428361.3, 4583267.4)",33.62318871333617,47181
27,el Putxet i el Farró,Sarrià-Sant Gervasi,428446.2050170323,4584281.810608005,"(428459.5, 4584272.1)",16.463671520927583,29783
28,Vallcarca i els Penitents,Gràcia,428198.0037054731,4585349.65384521,"(428178.4, 4585378.8)",35.125540669551334,16082
29,el Coll,Gràcia,428777.9855208787,4585537.086619914,"(428779.4, 4585538.2)",1.800101775440126,7611
30,la Salut,Gràcia,429324.87613836885,4584887.511517215,"(429305.2, 4584872.3)",24.87047802285354,13337
31,la Vila de Gràcia,Gràcia,429525.85074530746,4583850.793725385,"(429520.3, 4583858.0)",9.096217196747505,49852
32,el Camp d'en Grassot i Gràcia Nova,Gràcia,430209.00904335856,4584198.521323221,"(430213.7, 4584165.9)",32.95687792955951,35033
33,el Baix Guinardó,Horta-Guinardó,430451.98048720346,4584796.850379392,"(430461.5, 4584796.8)",9.51964610511519,25591
34,Can Baró,Horta-Guinardó,430000.68940730556,4585361.587425851,"(430028.1, 4585353.8)",28.495343360820904,9271
35,el Guinardó,Horta-Guinardó,430942.1733547535,4585581.200319375,"(430984.4, 4585570.2)",43.63595530201548,36994
36,la Font d'en Fargues,Horta-Guinardó,430247.6586542883,4586227.655374628,"(430266.5, 4586226.6)",18.870880314233396,9527
37,el Carmel,Horta-Guinardó,429467.9392301189,4585920.3837921275,"(429436.8, 4585888.9)",44.28183396270138,32119
38,la Teixonera,Horta-Guinardó,428681.7577621107,4586073.117601824,"(428627.9, 4586050.9)",58.26045288495937,11918
41,la Vall d'Hebron,Horta-Guinardó,428842.0924355486,4586889.162331039,"(429087.8, 4586501.1)",459.3088067960472,5869
42,la Clota,Horta-Guinardó,429235.7765222769,4586712.990275912,"(429336.2, 4586586.7)",161.3508867898729,669
44,Vilapicina i la Torre Llobeta,Nou Barris,430991.464172972,4586665.6691733,"(431023.1, 4586672.0)",32.2630581074555,25667
46,el Turó de la Peira,Nou Barris,430563.98812671425,4587081.306057902,"(430660.6, 4586793.9)",303.20965713242344,16025
61,la Sagrera,Sant Andreu,432335.29680233327,4586061.436290697,"(432311.6, 4586060.9)",23.70287004846541,29441
62,el Congrés i els Indians,Sant Andreu,431550.72759970475,4586214.8386303745,"(431533.4, 4586207.4)",18.856800719385227,14319
63,Navas,Sant Andreu,431971.0796997126,4585480.468854869,"(431939.7, 4585476.9)",31.581992956782948,21947
64,el Camp de l'Arpa del Clot,Sant Martí,431673.35190795345,4584818.23763718,"(431701.2, 4584815.3)",28.002606000797076,38207
65,el Clot,Sant Martí,432302.84063421283,4584567.53219561,"(432308.0, 4584561.2)",8.167971386256207,26380
66,el Parc i la Llacuna del Poblenou,Sant Martí,432310.3997248311,4583324.749857957,"(432290.8, 4583337.8)",23.54687709241,15961
67,la Vila Olímpica del Poblenou,Sant Martí,432835.598152309,4582444.882605184,"(432840.7, 4582451.6)",8.435178893947047,9376
68,el Poblenou,Sant Martí,433327.05211996386,4583467.801984738,"(433343.2, 4583466.0)",16.24811307987997,34103
69,Diagonal Mar i el Front Marítim del Poblenou,Sant Martí,434214.40698155726,4584046.991947154,"(434230.6, 4584072.4)",30.129437362012858,13391
70,el Besòs i el Maresme,Sant Martí,434545.7847492995,4584936.419617468,"(434217.4, 4584664.5)",426.3529311922199,26349
71,Provençals del Poblenou,Sant Martí,433358.0617226884,4584704.002510641,"(433314.0, 4584652.9)",67.47519544261716,21092
72,Sant Martí de Provençals,Sant Martí,432977.58344260656,4585344.681292678,"(432981.4, 4585351.5)",7.81414613874082,25852
73,la Verneda i la Pau,Sant Martí,433408.25015405123,4586127.646750592,"(433398.1, 4585843.0)",284.82766412284286,28754
